id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
hkjc.com,1,0,7469229,7.2387,0.4051,https://static.semrush.com/power-pages/media/favicons/hkjc-com-favicon-444422b3.ico,Hong Kong Jockey Club
espn.com,2,0,1611673,3.6545,0.3486,https://static.semrush.com/power-pages/media/favicons/espn-com-favicon-bb60826b.png,ESPN
bet365.com,3,0,1543907,2.201,0.5198,,Bet365
lequipe.fr,4,0,935820,1.3723,0.7096,https://static.semrush.com/power-pages/media/favicons/lequipe-fr-favicon-87916997.png,L'Equipe
7m.com.cn,5,3,680815,19.1632,0.1695,,
ballgametime.com,6,3,675415,2.2888,0.4865,,
soccerway.com,7,-2,632928,9.2821,0.2045,,Soccerway
nba.com,8,-1,608096,4.5179,0.2841,https://static.semrush.com/power-pages/media/favicons/nba-com-favicon-3c2b1489.jpg,NBA
flashscore.com,9,1,565360,3.0188,0.4091,https://static.semrush.com/power-pages/media/favicons/flashscore-com-favicon-5186b941.png,Flashscore
livescore.com,10,-4,543925,1.5373,0.7788,https://static.semrush.com/power-pages/media/favicons/livescore-com-favicon-6c363de8.png,LiveScore
hoofoot.com,11,4,424734,1.9947,0.2724,,
topstreams.info,12,7,418889,1.5177,0.722,,
vipbox.lc,13,-2,406653,2.7163,0.4122,,
premierleague.com,14,4,385415,1.9528,0.613,https://static.semrush.com/power-pages/media/favicons/premierleague-com-favicon-0bf7a53f.png,Premier League
bongda.com.vn,15,-3,375840,3.6111,0.2222,,BongDa
windrawwin.com,16,0,363089,18.4172,0.0779,,
sportsv.net,17,4,357735,2.2762,0.4363,,
nbabite.com,18,0,222149,1.5464,0.5565,,
sportradar.com,19,9,221200,1.6983,0.7354,,
sportskeeda.com,20,2,213718,1.1903,0.8913,https://static.semrush.com/power-pages/media/favicons/www-sportskeeda-com-favicon-be3731e3.png,Sportskeeda
