id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
samsung.com,1,0,3038268,2.3567,0.5954,https://static.semrush.com/power-pages/media/favicons/samsung-com-favicon-fe8c4b2a.png,Samsung
eprice.com.hk,2,0,3003436,1.6728,0.5682,,
hkepc.com,3,0,2088507,4.6569,0.4419,,
tvb.com,4,1,1802376,1.2791,0.8211,,
mytvsuper.com,5,-1,1543237,2.079,0.5656,,
xiaoyakankan.com,6,4,1147045,3.3349,0.499,,
hkcsl.com,7,2,1075768,8.962,0.4424,,
smartone.com,8,-2,952814,4.2719,0.5209,,
chinamobile.com,9,-1,891558,1.9642,0.609,,
hkbn.net,10,-3,876595,1.9147,0.5936,,
hgcbroadband.com,11,8,769817,1.6664,0.8154,,
mobilemagazinehk.com,12,0,753091,1.3444,0.7831,,
i-cable.com,13,-2,643269,1.6698,0.7536,,
huawei.com,14,0,635048,3.1495,0.5655,https://static.semrush.com/power-pages/media/favicons/huawei-com-favicon-1082d335.png,Huawei
three.com.hk,15,1,558339,2.6314,0.6081,,
speedtest.net,16,2,547590,1.4243,0.7855,https://static.semrush.com/power-pages/media/favicons/speedtest-net-favicon-b9ced8c4.png,Speedtest
sony.com.hk,17,-4,478335,2.7342,0.4938,,
pcmarket.com.hk,18,2,374843,1.6583,0.6863,,
pccw.com,19,3,363047,4.1149,0.4687,,
ruijienetworks.com,20,0,359710,2.0844,0.2527,,
