id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
openai.com,1,0,3995424,1.9259,0.6001,,
nih.gov,2,0,1102024,1.8127,0.7389,https://static.semrush.com/power-pages/media/favicons/nih-gov-favicon-6c30e540.ico,National Institutes of Health
iherb.com,3,0,904692,3.668,0.5587,https://static.semrush.com/power-pages/media/favicons/iherb-com-favicon-84b0a349.ico,iHerb
chp.gov.hk,4,2,288116,1.3847,0.7858,,
womenshealthmag.com,5,4,265361,1.0483,0.9546,,Women's Health Magazine
mindtastik.com,6,2,249650,3.2756,0.2177,,
healthline.com,7,-2,225117,1.1632,0.8766,,Healthline Media
calculator.net,8,2,224530,2.9628,0.3521,,
mayoclinic.org,9,-2,223683,1.3491,0.8058,,Mayo Clinic
wp.me,10,0,199658,2.9098,0.7205,,
webmd.com,11,4,160965,1.2149,0.8677,,WebMD
sproutatwork.com,12,0,145794,1.2121,0.8485,,
otandp.com,13,7,122182,1.0659,0.938,,
rochester.edu,14,-10,116434,3.156,0.3982,,University of Rochester
cigna.com.hk,15,-1,111042,1.1793,0.9246,,
medicalnewstoday.com,16,1,105486,1.1202,0.9425,https://static.semrush.com/power-pages/media/favicons/medicalnewstoday-com-favicon-28e75580.png,Medical News Today
drugoffice.gov.hk,17,-4,105333,2.1233,0.6395,,
harvard.edu,18,-7,102356,2.4822,0.6744,https://static.semrush.com/power-pages/media/favicons/harvard-edu-favicon-8e03c54f.jpg,Harvard University
clevelandclinic.org,19,-3,99767,1.1286,0.8831,https://static.semrush.com/power-pages/media/favicons/clevelandclinic-org-favicon-91184c4d.png,Cleveland Clinic
www.nhs.uk,20,-8,83590,1.4925,0.6511,https://static.semrush.com/power-pages/media/favicons/www-nhs-uk-favicon-43924bfe.png,
