id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
nykaa.com,1,0,15200959,2.4448,0.6531,,
purplle.com,2,0,9373642,1.4608,0.7947,,
mamaearth.in,3,1,7228498,1.1643,0.8893,,
myglamm.com,4,-1,6059580,1.4358,0.7025,,
themomsco.com,5,2,5525765,1.3793,0.7467,,
organicharvest.in,6,-1,4801285,1.353,0.7638,,
discoverpilgrim.com,7,3,2982748,2.5052,0.4715,,
justherbs.in,8,0,2959409,1.4868,0.8252,,
bombayshavingcompany.com,9,-3,2767246,1.8717,0.6416,,
splashfragrance.in,10,0,2532309,8.4369,0.351,,
bellavitaorganic.com,11,11,2267925,1.3699,0.8333,,
beardo.in,12,0,2180919,1.5324,0.7433,,
buywow.in,13,7,2108375,1.6977,0.7716,,
smytten.com,14,-1,1885417,1.1601,0.8587,,
beminimalist.co,15,-4,1836506,3.7575,0.5374,,
fragrantica.com,16,5,1828116,4.0688,0.2969,,
drsheths.com,17,9,1750313,1.8749,0.748,,
skinkraft.com,18,7,1607840,1.4419,0.8309,,
thedermaco.com,19,-4,1520602,1.1653,0.858,,
reneecosmetics.in,20,3,1492622,1.1793,0.8766,,
