id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
openai.com,1,0,319251206,1.8475,0.6373,,
github.com,2,1,97996405,2.2992,0.5872,https://static.semrush.com/power-pages/media/favicons/github-com-favicon-346e0947.png,GitHub
zoom.us,3,-1,97736326,2.059,0.5509,https://static.semrush.com/power-pages/media/favicons/zoom-us-favicon-6216d0f4.ico,Zoom
office.com,4,0,68207004,2.0857,0.5808,https://static.semrush.com/power-pages/media/favicons/office-com-favicon-8f211ea6.ico,SmartSystem
adobe.com,5,1,64406792,1.8093,0.6493,https://static.semrush.com/power-pages/media/favicons/adobe-com-favicon-9940bec6.png,Adobe
canva.com,6,-1,59276722,3.3444,0.3481,,Canva
ilovepdf.com,7,0,53180076,3.604,0.2364,https://static.semrush.com/power-pages/media/favicons/ilovepdf-com-favicon-e7f31a42.png,iLovePDF
geeksforgeeks.org,8,0,49506984,1.8023,0.6914,https://static.semrush.com/power-pages/media/favicons/geeksforgeeks-org-favicon-3af42414.png,Geeks for Geeks
stackoverflow.com,9,1,42849917,1.3065,0.825,https://static.semrush.com/power-pages/media/favicons/stackoverflow-com-favicon-d2a17223.ico,Stack Overflow
kochava.com,10,1,40233219,1.224,0.9226,,
payu.in,11,-2,38902240,1.8471,0.5037,,
snapchat.com,12,2,37594231,2.2275,0.6242,,
telegram.org,13,0,37198380,2.199,0.4821,,Telegram
onelink.to,14,-2,35097993,1.2498,0.8311,,
wordpress.com,15,0,33084293,2.011,0.6453,https://static.semrush.com/power-pages/media/favicons/wordpress-com-favicon-f9797465.png,WordPress
medium.com,16,2,30491105,1.2843,0.8287,https://static.semrush.com/power-pages/media/favicons/medium-com-favicon-18758d01.png,Medium
uptodown.com,17,-1,29386305,3.3734,0.3194,https://static.semrush.com/power-pages/media/favicons/uptodown-com-favicon-55d57fe9.ico,Uptodown
truecaller.com,18,3,28911903,1.3629,0.8179,,Truecaller
discord.com,19,-2,28349420,2.1224,0.6193,https://static.semrush.com/power-pages/media/favicons/discord-com-favicon-07dca80a.ico,Discord
w3schools.com,20,3,24271716,4.2243,0.5475,,W3Schools
