id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
amazon.in,1,0,657137998,3.4369,0.5518,https://static.semrush.com/power-pages/media/favicons/amazon-in-favicon-f2391664.jpg,Amazon India
flipkart.com,2,0,302139164,2.0489,0.6736,,Flipkart
samsung.com,3,1,81276857,2.1615,0.726,https://static.semrush.com/power-pages/media/favicons/samsung-com-favicon-fe8c4b2a.png,Samsung
indiamart.com,4,2,66527170,2.0819,0.6263,https://static.semrush.com/power-pages/media/favicons/indiamart-com-favicon-78734541.jpg,IndiaMART
myntra.com,5,0,62700460,2.6513,0.6786,,Myntra
amzn.to,6,-3,61311015,1.3331,0.8451,,
meesho.com,7,0,49281184,2.2911,0.6456,,Meesho
bikewale.com,8,4,34054644,1.8778,0.66,,BikeWale
jiomart.com,9,0,29841061,2.3864,0.658,,
ajio.com,10,-2,27580870,2.2936,0.6782,,Ajio
pricee.com,11,5,23852002,1.2786,0.79,,
epub.pub,12,-2,20559285,4.8695,0.3806,,
boat-lifestyle.com,13,2,19634790,1.8905,0.6215,,
goodreads.com,14,0,19583905,2.7495,0.5432,https://static.semrush.com/power-pages/media/favicons/goodreads-com-favicon-d409fae1.png,Goodreads
croma.com,15,3,19074121,1.3384,0.7952,,
mangasee123.com,16,-5,18493192,3.6394,0.3881,,
gadgets360.com,17,0,16550542,1.5638,0.7401,,
aliexpress.com,18,-5,16254464,2.0924,0.7945,,AliExpress
nykaa.com,19,2,15200959,2.4448,0.6531,,
oneplus.in,20,2,13681261,1.782,0.6185,,
