id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
google.co.in,1,0,235962300,2.9167,0.4093,,Google India
byjus.com,2,0,184416977,1.8335,0.6431,,BYJU’S
toppr.com,3,0,130344132,2.9197,0.5238,,Toppr
zoom.us,4,0,97736326,2.059,0.5509,https://static.semrush.com/power-pages/media/favicons/zoom-us-favicon-6216d0f4.ico,Zoom
sarkariresult.com,5,2,79573209,2.487,0.4227,https://static.semrush.com/power-pages/media/favicons/sarkariresult-com-favicon-a76cf700.ico,Sarkari Result
office.com,6,0,68207004,2.0857,0.5808,https://static.semrush.com/power-pages/media/favicons/office-com-favicon-8f211ea6.ico,SmartSystem
microsoftonline.com,7,-2,61247034,2.1418,0.5115,,
doubtnut.com,8,4,54521403,1.9047,0.6066,,
testbook.com,9,2,49758601,2.4335,0.643,,
tinyurl.com,10,-2,49039045,1.367,0.7813,,
brainly.in,11,3,45859327,1.6493,0.6473,https://static.semrush.com/power-pages/media/favicons/brainly-in-favicon-0865c7f1.png,Brainly India
shaalaa.com,12,1,45796374,3.8416,0.5447,,
live.com,13,-3,36754303,2.424,0.5455,,
sarthaks.com,14,1,36591060,1.5913,0.6961,,
tn.gov.in,15,2,34638501,3.9676,0.4869,,
learncbse.in,16,4,33850032,1.7779,0.6083,,Learn CBSE
vedantu.com,17,2,31702593,1.5306,0.7219,,Vedantu
slideshare.net,18,0,30037393,2.0551,0.5325,https://static.semrush.com/power-pages/media/favicons/slideshare-net-favicon-af4544a8.ico,SlideShare
nta.ac.in,19,4,27027562,1.7514,0.6594,,
ap.gov.in,20,-4,25471223,3.1683,0.4665,,
