id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
myntra.com,1,0,62700460,2.6513,0.6786,,Myntra
meesho.com,2,0,49281184,2.2911,0.6456,,Meesho
ajio.com,3,0,27580870,2.2936,0.6782,,Ajio
lenskart.com,4,1,12731559,1.5966,0.7264,,
snapdeal.com,5,1,10343876,1.4282,0.7913,,Snapdeal
hm.com,6,-2,7263403,2.2111,0.7038,https://static.semrush.com/power-pages/media/favicons/hm-com-favicon-1732fb0a.png,H&M
nykaafashion.com,7,0,5161332,1.9795,0.7136,,Nykaa Fashion
heerfashion.com,8,5,5059604,1.3714,0.79,,
libas.in,9,0,4948392,1.7042,0.7285,,
thesouledstore.com,10,0,4851569,1.2406,0.8762,,
titaneyeplus.com,11,-2,4560093,1.3695,0.777,,
limeroad.com,12,0,4453634,1.2778,0.7674,,
snitch.co.in,13,4,4095704,2.0426,0.7029,,
streetstylestore.com,14,2,3798850,1.4001,0.8944,,
peachmode.com,15,4,3623711,1.6713,0.7403,,
bewakoof.com,16,-4,3199050,2.0607,0.672,,
bata.com,17,13,2913389,2.651,0.7698,,
getketch.com,18,-7,2819808,1.1641,0.9015,,
zara.com,19,5,2667990,1.8245,0.6572,https://static.semrush.com/power-pages/media/favicons/zara-com-favicon-c65ba3c7.png,Zara
clovia.com,20,0,2642709,2.7944,0.5254,,
