id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
youtube.com,1,0,8637351000,7.1472,0.3244,https://static.semrush.com/power-pages/media/favicons/youtube-com-favicon-88b01f68.png,YouTube
instagram.com,2,0,961039575,2.0685,0.6757,https://static.semrush.com/power-pages/media/favicons/instagram-com-favicon-b407fa10.png,Instagram
wikipedia.org,3,0,434163245,1.8569,0.6397,https://static.semrush.com/power-pages/media/favicons/wikipedia-org-favicon-904ce6bd.ico,Wikipedia
twitter.com,4,0,311417947,1.8255,0.7385,https://static.semrush.com/power-pages/media/favicons/twitter-com-favicon-8ea219d0.png,Twitter
indiatimes.com,5,1,166112247,1.6596,0.7438,https://static.semrush.com/power-pages/media/favicons/indiatimes-com-favicon-0481260b.png,Indiatimes
oneindia.com,6,-1,160396207,2.1038,0.5404,https://static.semrush.com/power-pages/media/favicons/oneindia-com-favicon-58c9b0eb.png,OneIndia
eenadu.net,7,1,126557398,3.8448,0.3424,https://static.semrush.com/power-pages/media/favicons/eenadu-net-favicon-04d465b9.jpg,Eenadu
imdb.com,8,-1,116840603,1.9339,0.5931,https://static.semrush.com/power-pages/media/favicons/imdb-com-favicon-0f70e9b9.png,IMDB
moneycontrol.com,9,0,105490048,2.5019,0.6468,,Moneycontrol.com
hindustantimes.com,10,2,83521002,1.2663,0.8287,,Hindustan Times
tupaki.com,11,-1,77176091,4.2116,0.3265,,
news18.com,12,-1,76816445,1.5479,0.7315,,News18
aajtak.in,13,0,73527633,2.1438,0.5675,https://static.semrush.com/power-pages/media/favicons/aajtak-in-favicon-8dfa2fd6.png,Aaj Tak
ndtv.com,14,1,66500039,1.7713,0.6242,https://static.semrush.com/power-pages/media/favicons/ndtv-com-favicon-20176db8.png,NDTV
anandabazar.com,15,-1,61123248,3.1073,0.3994,,
manoramaonline.com,16,13,59377253,2.5558,0.3833,https://static.semrush.com/power-pages/media/favicons/manoramaonline-com-favicon-ba2f3d0b.png,Manorama Online
indianexpress.com,17,5,56262356,1.6918,0.7089,https://static.semrush.com/power-pages/media/favicons/indianexpress-com-favicon-a730a1af.png,Indian Express
bbc.com,18,5,48933999,1.6009,0.6767,https://static.semrush.com/power-pages/media/favicons/bbc-com-favicon-65d5fda0.jpg,BBC
filmibeat.com,19,-1,48800158,1.3711,0.804,,
sakshi.com,20,-4,48788924,3.419,0.2952,,
