id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
lionair.co.id,1,0,6293963,3.0066,0.5804,,
airasia.com,2,3,6193233,1.8017,0.7127,,AirAsia
dephub.go.id,3,-1,5466092,2.9531,0.658,,
whatsaero.com,4,0,4139650,3.1303,0.4638,,
trip.com,5,4,4076880,1.7818,0.5939,https://static.semrush.com/power-pages/media/favicons/trip-com-favicon-8230f336.ico,
citilink.co.id,6,0,3226719,3.7786,0.4584,,Citilink Indonesia
flightradar24.com,7,-4,2725572,1.5717,0.8067,,
garuda-indonesia.com,8,-1,2589197,2.3757,0.5327,,
railink.co.id,9,11,1479535,1.8283,0.652,,
simpleplanes.com,10,0,1417718,5.946,0.4096,,
skyscanner.net,11,19,1395919,1.5925,0.669,,
flightaware.com,12,-1,1380719,2.2233,0.4371,,
singaporeair.com,13,-1,1199880,4.7409,0.505,,
pelita-air.com,14,8,1188603,1.3231,0.8073,,
skyscanner.co.id,15,-7,1077849,2.1592,0.5239,,
jetphotos.com,16,-3,935962,1.2365,0.8826,,
lionair.com,17,-3,933933,1.4033,0.6312,,
cathaypacific.com,18,8,918366,3.1486,0.3616,,
dji.com,19,6,894739,1.465,0.6512,,
airspace-review.com,20,-10,793093,6.4525,0.5237,,
