id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
google.com,1,0,11095932367,2.8673,0.457,https://static.semrush.com/power-pages/media/favicons/google-com-favicon-f3418a44.ico,Google
youtube.com,2,0,4723042380,7.3575,0.3454,https://static.semrush.com/power-pages/media/favicons/youtube-com-favicon-88b01f68.png,YouTube
facebook.com,3,0,913444806,2.2711,0.6051,https://static.semrush.com/power-pages/media/favicons/facebook-com-favicon-d2850d31.ico,Facebook
twitter.com,4,0,625035744,1.7447,0.6993,https://static.semrush.com/power-pages/media/favicons/twitter-com-favicon-8ea219d0.png,Twitter
kpu.go.id,5,0,619194644,2.271,0.6571,,
doodss.pro,6,3,564901691,1.4493,0.8739,,
detik.com,7,4,548327034,2.8604,0.5006,,Detik.com
anichin.top,8,-1,540773096,3.7145,0.3252,,
xnxx.com,9,1,453202943,7.5863,0.2372,,Xnxx
pornhub.com,10,-4,450894678,7.301,0.2236,https://static.semrush.com/power-pages/media/favicons/pornhub-com-favicon-bf5b6c80.ico,Pornhub
doujindesu.tv,11,-6,431773043,12.7258,0.1999,,
shopee.co.id,12,7,422012014,1.9232,0.6998,https://static.semrush.com/power-pages/media/favicons/shopee-co-id-favicon-c5618c85.ico,Shopee Indonesia
instagram.com,13,5,400722655,1.5827,0.7664,https://static.semrush.com/power-pages/media/favicons/instagram-com-favicon-b407fa10.png,Instagram
duckduckgo.com,14,-6,355157548,2.1394,0.4785,https://static.semrush.com/power-pages/media/favicons/duckduckgo-com-favicon-6a39c9fc.png,DuckDuckGo
komikav.com,15,9,293840160,6.1546,0.2844,,
wto.to,16,1,293474691,12.3806,0.2175,,
whatsapp.com,17,12,278193196,1.4557,0.7979,,WhatsApp
tiktok.com,18,9,276577467,1.7687,0.684,https://static.semrush.com/power-pages/media/favicons/tiktok-com-favicon-3776ce2f.png,TikTok
readmangabat.com,19,-5,275004482,5.8741,0.3224,,
xvideos.com,20,-7,274629577,8.2715,0.2474,,Xvideos
