id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
klikbca.com,1,0,100581292,5.672,0.2641,,
bca.co.id,2,0,65542705,1.5514,0.759,,
bri.co.id,3,0,21988699,2.2897,0.6373,,
bankmandiri.co.id,4,1,11801039,2.1088,0.5754,,
bni.co.id,5,-1,11243523,3.5026,0.5107,,
btn.co.id,6,7,8833697,3.815,0.3513,,
ojk.go.id,7,0,7588354,2.809,0.5523,,
cimbniaga.co.id,8,-2,7049892,1.5052,0.7629,,
julo.co.id,9,3,5451040,1.9612,0.4841,,
flip.id,10,-1,5137204,1.2343,0.8375,,
jenius.com,11,0,4866196,1.6494,0.6572,,
mandirikartukredit.com,12,3,3960898,1.2469,0.8521,,
kreditpintar.com,13,16,3886826,1.5847,0.7582,,
jago.com,14,9,3448781,1.2692,0.7982,,
bcasyariah.co.id,15,12,3352748,3.7296,0.1552,,
kredivo.com,16,1,3209250,1.9006,0.4273,,
bankmega.com,17,7,3184926,1.6589,0.7611,,
bankbsi.co.id,18,-4,3048417,3.6521,0.688,,
bibit.id,19,1,2978377,1.3997,0.7525,,
lelang.go.id,20,-1,2961332,6.6763,0.3514,,
