id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
kpu.go.id,1,5,619194644,2.271,0.6571,,
kemdikbud.go.id,2,-1,127137884,4.031,0.4452,,Ministry of Education and Culture of the Republic of Indonesia
klikbca.com,3,-1,100581292,5.672,0.2641,,
alodokter.com,4,-1,92743380,1.3234,0.7927,https://static.semrush.com/power-pages/media/favicons/alodokter-com-favicon-edaba8ad.png,Alodokter
tinyurl.com,5,-1,77557018,1.5044,0.7104,,
google.co.id,6,-1,75518693,1.8819,0.6683,,
portal-islam.id,7,0,60437459,3.3323,0.2529,,
zoom.us,8,0,55900286,1.788,0.5928,https://static.semrush.com/power-pages/media/favicons/zoom-us-favicon-6216d0f4.ico,Zoom
office.com,9,1,42281428,1.7434,0.6146,https://static.semrush.com/power-pages/media/favicons/office-com-favicon-8f211ea6.ico,SmartSystem
novelfull.com,10,-1,37768465,13.5633,0.2464,,
quizizz.com,11,8,35610155,2.0542,0.5661,https://static.semrush.com/power-pages/media/favicons/quizizz-com-favicon-924b99fb.png,Quizizz
gramedia.com,12,1,34386579,1.2581,0.85,,Gramedia
brainly.co.id,13,-1,33429357,1.8157,0.666,https://static.semrush.com/power-pages/media/favicons/brainly-co-id-favicon-0865c7f1.png,Brainly Indonesia
ruangguru.com,14,4,31290728,2.7013,0.5541,https://static.semrush.com/power-pages/media/favicons/www-ruangguru-com-favicon-9729da81.png,Ruangguru
hellosehat.com,15,-1,31175123,1.1894,0.8528,https://static.semrush.com/power-pages/media/favicons/hellosehat-com-favicon-18865bc1.png,Hello Sehat
microsoftonline.com,16,-1,29756180,1.9495,0.5362,,
kemenag.go.id,17,-1,27824552,2.7837,0.5607,,
live.com,18,2,22609974,2.8406,0.3957,,
republika.co.id,19,-2,21734999,1.6534,0.6898,,
umsu.ac.id,20,1,21670135,1.2213,0.8609,,
