id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
duckduckgo.com,1,0,355157548,2.1394,0.4785,https://static.semrush.com/power-pages/media/favicons/duckduckgo-com-favicon-6a39c9fc.png,DuckDuckGo
mynimeku.com,2,0,4944565,2.9957,0.5133,,
indofood.com,3,1,2473284,3.392,0.3416,,
yakult.co.id,4,8,2301160,5.0229,0.3097,,
fatsecret.co.id,5,0,2132315,1.7847,0.6398,,
tabsquare.com,6,-3,1593413,5.2045,0.4101,,
basededatostea.xyz,7,0,1092929,5.9385,0.4707,,
dominos.co.id,8,3,1071121,2.2104,0.6733,,
yuzu-emu.org,9,-2,934015,1.3813,0.7355,,
bkdelivery.co.id,10,13,872319,1.7807,0.5749,,
kinder.com,11,3,855245,1.1511,0.8493,,
pizzahut.co.id,12,-2,754843,1.0873,0.9638,,
ottencoffee.co.id,13,-4,695648,1.2512,0.8736,,
saucenao.com,14,-6,667147,2.5561,0.0798,,
hollandbakery.co.id,15,5,584505,2.4591,0.4971,,
allrecipes.com,16,12,579645,1.8901,0.8869,https://static.semrush.com/power-pages/media/favicons/allrecipes-com-favicon-89c4e31f.png,AllRecipes
indonesiadreamjuice.com,17,-1,542467,1.3884,0.7324,,
nilaigizi.com,18,4,532803,1.2668,0.8739,,
bulksupplements.com,19,0,386156,1.6689,0.4992,,
coca-cola.co.id,20,-14,380737,1.613,0.7512,,
