id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
siloamhospitals.com,1,0,24428977,1.1434,0.8934,,
nih.gov,2,0,5968068,1.3743,0.8377,https://static.semrush.com/power-pages/media/favicons/nih-gov-favicon-6c30e540.ico,National Institutes of Health
jurnalterkini.id,3,2,4883152,4.3026,0.4474,,
healthline.com,4,-1,3594748,1.2882,0.8494,,Healthline Media
mitrakeluarga.com,5,1,3208573,1.1019,0.9246,,
alomedika.com,6,-2,2925842,1.1206,0.9106,,
ekahospital.com,7,1,2647525,1.1846,0.856,,
mayoclinic.org,8,4,1901222,1.2004,0.9137,,Mayo Clinic
herminahospitals.com,9,-2,1823652,1.9312,0.8429,,
clevelandclinic.org,10,6,1771146,1.1652,0.9077,https://static.semrush.com/power-pages/media/favicons/clevelandclinic-org-favicon-91184c4d.png,Cleveland Clinic
medicalnewstoday.com,11,3,1649614,1.1264,0.8812,https://static.semrush.com/power-pages/media/favicons/medicalnewstoday-com-favicon-28e75580.png,Medical News Today
prenagen.com,12,1,1466291,1.2247,0.799,,
ciputrahospital.com,13,-4,1455194,1.1313,0.8952,,
enesis.com,14,13,1356354,1.1086,0.9407,,
primayahospital.com,15,-4,1273633,1.579,0.6473,,
gooddoctor.co.id,16,-1,1261459,1.2147,0.8158,,
nutriclub.co.id,17,2,1249858,1.0802,0.9202,,
harvard.edu,18,6,1119201,1.4907,0.7035,https://static.semrush.com/power-pages/media/favicons/harvard-edu-favicon-8e03c54f.jpg,Harvard University
sariasih.com,19,0,1087074,1.8484,0.7196,,
drugs.com,20,9,925006,2.7096,0.6298,https://static.semrush.com/power-pages/media/favicons/drugs-com-favicon-27cb02f1.png,Drugs.com
