id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
forexfactory.com,1,0,6663345,2.4065,0.6328,,
stockbit.com,2,0,3675592,2.42,0.6081,,
idx.co.id,3,0,2525730,1.4042,0.7979,,
indopremier.com,4,1,1736184,1.62,0.849,,
mql5.com,5,-1,1516938,2.5073,0.6869,,
octafx.com,6,15,1338431,2.4567,0.5625,,
emitennews.com,7,2,929938,1.4072,0.7377,,
bcasekuritas.co.id,8,5,776824,2.7665,0.5812,,
ksei.co.id,9,7,762888,1.5197,0.6315,,
most.co.id,10,-4,707958,1.9453,0.7048,,
bareksa.com,11,-4,570674,1.7396,0.6972,,
icmarkets.com,12,-1,464859,1.5893,0.6107,,
tickmill.com,13,0,452772,1.4314,0.7143,,
miraeasset.co.id,14,-6,425397,2.3709,0.3072,,
tanamduit.com,15,14,346190,1.2129,0.7983,,
poems.co.id,16,-6,322233,2.176,0.888,,
hsb.co.id,17,-3,268866,1.0072,0.9952,,
vanguard.com,18,0,262591,1.2619,0.7496,,Vanguard
valbury.co.id,19,-4,244420,1.2558,0.8717,,
pasardana.id,20,-2,230556,1.7017,0.6424,,
