id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
orderonline.id,1,0,11725647,1.2666,0.8065,,
dood.com,2,0,2759305,1.1923,0.808,,
resdiary.com,3,4,1413544,3.0909,0.3182,,
mcdonalds.co.id,4,-1,1135086,1.4368,0.6422,,
dominos.co.id,5,0,1071121,2.2104,0.6733,,
bkdelivery.co.id,6,3,872319,1.7807,0.5749,,
pizzahut.co.id,7,-3,754843,1.0873,0.9638,,
pizzahutsurvey.com,8,-2,317724,1.9381,0.2837,,
kfcku.com,9,-1,233796,1.0942,0.9149,,
mcdonaldsapps.com,10,14,193881,1.337,0.6661,,
dominos.com,11,0,167581,1.4718,0.5935,,Domino's
joshuaweissman.com,12,6,158564,1.0041,0.9959,,
tahupost.net,13,6,143212,1.4486,0.5514,,
yum.com,14,0,142998,3.7973,0.0,https://static.semrush.com/power-pages/media/favicons/www-yum-com-favicon-d3ebd423.ico,Yum!
budgetbytes.com,15,0,129363,3.9817,0.005,,
menulog.com.au,16,0,128504,1.0,1.0,,
oddle.me,17,0,66829,1.0482,0.9807,,
foodpanda.sg,18,0,65541,2.0394,0.0033,,
opentable.com.au,19,0,65326,1.9836,0.0164,,
recipes.net,20,-6,65111,1.0,1.0,,
