id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
booking.com,1,0,2833411,4.4658,0.425,https://static.semrush.com/power-pages/media/favicons/booking-com-favicon-faedfe66.ico,Booking.com
airbnb.ie,2,2,979933,2.6115,0.5984,,
loveholidays.ie,3,0,838456,1.897,0.5848,,
corkbeo.ie,4,-2,834379,2.1917,0.5478,,
3arena.ie,5,3,235084,1.9037,0.4113,,
premierinn.com,6,21,221301,1.8631,0.6706,,
aircoach.ie,7,4,204916,2.4776,0.6147,,
opentable.com,8,0,164314,1.2991,0.8588,,
litoralulromanesc.ro,9,17,143010,1.2857,0.8571,,
marriott.com,10,15,141654,3.0,0.3922,https://static.semrush.com/power-pages/media/favicons/marriott-com-favicon-ae4adb29.png,Marriott
livingsocial.ie,11,8,122671,1.7831,0.7296,,
thejohnstownestate.com,12,0,111062,3.0781,0.5053,,
accor.com,13,0,108563,3.6512,0.3768,,
agoda.com,14,0,107455,2.9541,0.5151,https://static.semrush.com/power-pages/media/favicons/agoda-com-favicon-d79c3f25.ico,Agoda
kayak.ie,15,3,106055,2.6816,0.2295,,
hotels.com,16,-11,104346,3.7542,0.3866,,
opentable.ie,17,-8,98472,1.8434,0.602,,
abnb.me,18,0,94523,1.3242,0.7839,,
caesars.com,19,0,93785,1.5446,0.5643,https://static.semrush.com/power-pages/media/favicons/www-caesars-com-favicon-d16b8701.ico,Caesars Entertainment
expedia.ie,20,-14,89212,2.4082,0.5009,,
