id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
linktr.ee,1,0,929324,1.3192,0.8324,https://static.semrush.com/power-pages/media/favicons/linktr-ee-favicon-29afac0e.png,Linktree
cyberfolks.pl,2,0,367740,2.8889,0.2222,,
mailchimp.com,3,0,141936,3.6873,0.4189,https://static.semrush.com/power-pages/media/favicons/mailchimp-com-favicon-8969a0a6.ico,Mailchimp
imginn.com,4,0,100531,6.5623,0.1924,,
getresponse.com,5,6,90649,1.2886,0.9408,https://static.semrush.com/power-pages/media/favicons/getresponse-com-favicon-34c4c40a.png,GetResponse
klaviyo.com,6,7,80093,3.4375,0.5849,,
shorturl.at,7,0,69447,1.0612,0.9483,,
xtremepush.com,8,0,68159,1.2124,0.7876,,
kajabi.com,9,0,64493,13.445,0.1321,,
rb.gy,10,4,55415,1.0,1.0,,
semrush.com,11,-3,50763,2.1891,0.4904,https://static.semrush.com/power-pages/media/favicons/semrush-favicon-3cd418d5bb49.ico,Semrush
kartra.com,12,0,50143,4.252,0.3223,,Kartra
webinarjam.com,13,0,46991,2.0399,0.5645,,WebinarJam
g.page,14,16,46058,1.1852,0.9074,,
smadex.com,15,-5,44352,1.7871,0.6735,,
aweber.com,16,3,43946,1.1746,0.9438,,
sender.net,17,0,42618,1.0318,0.9841,,
constantcontact.com,18,6,39924,1.6492,0.4481,https://static.semrush.com/power-pages/media/favicons/constantcontact-com-favicon-2d66d02a.png,Constant Contact
buffer.com,19,0,36262,1.6388,0.4788,,
bitly.com,20,2,35229,1.7401,0.7338,,
