id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
aib.ie,1,0,23158077,1.6273,0.8156,,
portfolio.hu,2,2,1292967,3.1597,0.2912,,
bankofireland.com,3,-1,719360,1.5563,0.7343,,
ebs.ie,4,-1,615273,2.1661,0.4748,,
open24.ie,5,0,419682,5.6652,0.1769,,
365online.com,6,0,333705,4.4532,0.4087,,
getmybalance.com,7,0,290684,2.6031,0.4783,,
wise.com,8,0,267232,3.7041,0.5408,,
arcot.com,9,1,250320,2.0067,0.0749,,
bunq.com,10,11,243942,1.8462,0.5987,,
businessonline-boi.com,11,-2,214646,6.7456,0.2004,,
straphaelscu.ie,12,1,206581,2.5823,0.2088,,
avantmoney.ie,13,5,171855,2.9854,0.5725,,
raisin.ie,14,0,137806,1.5122,0.9325,,
xe.com,15,-3,129571,1.1787,0.9051,https://static.semrush.com/power-pages/media/favicons/xe-com-favicon-592e3c52.ico,XE.com
downdetector.ie,16,-2,128730,1.4065,0.7552,,
kiszamolo.hu,17,5,102983,1.2307,0.7935,,
paystack.com,18,-7,102150,1.2,0.9,,
citi.com,19,7,94412,1.0749,0.9323,https://static.semrush.com/power-pages/media/favicons/citi-com-favicon-5c529d13.ico,Citibank
statesavings.ie,20,-1,88924,2.3985,0.4775,,
