id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
office.com,1,1,5951962,2.1611,0.5597,https://static.semrush.com/power-pages/media/favicons/office-com-favicon-8f211ea6.ico,SmartSystem
openai.com,2,-1,5254853,1.8467,0.6034,,
paypal.com,3,0,2236955,3.2671,0.3375,https://static.semrush.com/power-pages/media/favicons/paypal-com-favicon-ed31bc43.png,PayPal
zoom.us,4,0,1784735,2.3429,0.4792,https://static.semrush.com/power-pages/media/favicons/zoom-us-favicon-6216d0f4.ico,Zoom
discord.com,5,2,1548881,2.9714,0.5424,https://static.semrush.com/power-pages/media/favicons/discord-com-favicon-07dca80a.ico,Discord
github.com,6,-1,1543538,2.3006,0.5954,https://static.semrush.com/power-pages/media/favicons/github-com-favicon-346e0947.png,GitHub
canva.com,7,-1,1228202,3.1564,0.3453,,Canva
imgur.com,8,1,1197912,1.7348,0.716,https://static.semrush.com/power-pages/media/favicons/imgur-com-favicon-c0c62393.png,Imgur
mail.com,9,0,1196297,8.7182,0.0411,,
stackoverflow.com,10,-2,1043690,1.2696,0.883,https://static.semrush.com/power-pages/media/favicons/stackoverflow-com-favicon-d2a17223.ico,Stack Overflow
adobe.com,11,-1,1017879,2.0719,0.6687,https://static.semrush.com/power-pages/media/favicons/adobe-com-favicon-9940bec6.png,Adobe
wordpress.com,12,3,925918,2.6431,0.6009,https://static.semrush.com/power-pages/media/favicons/wordpress-com-favicon-f9797465.png,WordPress
y99.in,13,0,819090,2.3037,0.2619,,
shopify.com,14,-2,812108,3.1559,0.4911,https://static.semrush.com/power-pages/media/favicons/shopify-com-favicon-4243a4e2.jpg,Shopify
medium.com,15,-2,561297,1.3159,0.8306,https://static.semrush.com/power-pages/media/favicons/medium-com-favicon-18758d01.png,Medium
atlassian.net,16,0,542662,3.6613,0.4103,,
stackexchange.com,17,9,487835,1.1895,0.8467,https://static.semrush.com/power-pages/media/favicons/stackexchange-com-favicon-52965f0b.ico,Stack Exchange
stripe.com,18,-7,476678,1.4926,0.7492,,
dropbox.com,19,-5,474741,1.681,0.7116,https://static.semrush.com/power-pages/media/favicons/dropbox-com-favicon-5346f07d.png,Dropbox
zendesk.com,20,2,471647,3.1958,0.5809,,Zendesk
