id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
stackoverflow.com,1,0,1043690,1.2696,0.883,https://static.semrush.com/power-pages/media/favicons/stackoverflow-com-favicon-d2a17223.ico,Stack Overflow
duolingo.com,2,3,789056,1.328,0.8046,https://static.semrush.com/power-pages/media/favicons/duolingo-com-favicon-bcce2029.ico,Duolingo
merriam-webster.com,3,-1,773546,1.2479,0.8558,https://static.semrush.com/power-pages/media/favicons/merriam-webster-com-favicon-c356e011.png,Merriam-Webster
wordreference.com,4,5,582314,5.4526,0.2665,https://static.semrush.com/power-pages/media/favicons/wordreference-com-favicon-91adcbae.png,WordReference.com
rhymezone.com,5,-2,531318,1.6632,0.6277,,
yourdictionary.com,6,2,496611,1.062,0.938,https://static.semrush.com/power-pages/media/favicons/yourdictionary-com-favicon-6f3508c7.ico,YourDictionary
stackexchange.com,7,-1,487835,1.1895,0.8467,https://static.semrush.com/power-pages/media/favicons/stackexchange-com-favicon-52965f0b.ico,Stack Exchange
cambridge.org,8,-1,429130,1.7538,0.7438,https://static.semrush.com/power-pages/media/favicons/cambridge-org-favicon-3787ba24.ico,Cambridge
udemy.com,9,-5,395201,2.9045,0.5378,https://static.semrush.com/power-pages/media/favicons/udemy-com-favicon-21d92c84.png,Udemy
seesaw.me,10,3,340054,6.5573,0.1889,,
fetchcourses.ie,11,0,287267,2.1129,0.558,,
grammarly.com,12,3,266602,1.7252,0.6254,https://static.semrush.com/power-pages/media/favicons/grammarly-com-favicon-8bcab69b.png,Grammarly
coursera.org,13,6,238685,2.4772,0.5527,https://static.semrush.com/power-pages/media/favicons/coursera-org-favicon-7169eafb.png,Coursera
thesaurus.com,14,-4,238102,3.3851,0.4431,https://static.semrush.com/power-pages/media/favicons/thesaurus-com-favicon-dae75822.png,Thesaurus.com
twinkl.ie,15,5,222904,3.5188,0.4771,,
platzi.com,16,0,204300,1.95,0.65,,
quizlet.com,17,8,198609,4.5033,0.5489,,Quizlet
wiktionary.org,18,-4,198339,1.5125,0.6676,,Wiktionary
w3schools.com,19,2,149231,1.9988,0.6283,,W3Schools
proctoru.com,20,0,140269,1.9549,0.5296,,
