id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
amazon.co.uk,1,0,14103948,5.7824,0.3724,https://static.semrush.com/power-pages/media/favicons/amazon-co-uk-favicon-ca6619b8.ico,Amazon UK
netflix.com,2,1,4452096,2.3593,0.504,https://static.semrush.com/power-pages/media/favicons/netflix-com-favicon-41b45fdc.ico,Netflix
sky.com,3,-1,3572577,2.1102,0.48,https://static.semrush.com/power-pages/media/favicons/sky-com-favicon-97b2129b.png,Sky UK
bing.com,4,0,3477354,3.7374,0.3583,,Bing
ticketmaster.ie,5,4,2213175,2.2517,0.4747,,
spotify.com,6,0,2189946,1.9195,0.6219,https://static.semrush.com/power-pages/media/favicons/spotify-com-favicon-ff2831d2.png,Spotify
dailymotion.com,7,5,2153373,1.4245,0.7345,,Dailymotion
msn.com,8,2,1776284,2.1628,0.5225,https://static.semrush.com/power-pages/media/favicons/msn-com-favicon-84cc977d.ico,MSN
disneyplus.com,9,-1,1422855,2.3703,0.4781,https://static.semrush.com/power-pages/media/favicons/disneyplus-com-favicon-470cfd62.png,Disney Plus
express.co.uk,10,-5,1010412,2.4173,0.5512,https://static.semrush.com/power-pages/media/favicons/express-co-uk-favicon-e215bddb.png,
gamespot.com,11,7,994028,1.5383,0.8013,https://static.semrush.com/power-pages/media/favicons/gamespot-com-favicon-793fe1ee.png,GameSpot
primevideo.com,12,1,971808,2.0625,0.6167,https://static.semrush.com/power-pages/media/favicons/primevideo-com-favicon-7e8458b9.png,Prime Video
rottentomatoes.com,13,-2,942202,1.9734,0.5874,https://static.semrush.com/power-pages/media/favicons/rottentomatoes-com-favicon-c1d0090d.jpg,Rotten Tomatoes
omniplex.ie,14,3,898538,2.8348,0.5416,,
ticketmaster.com,15,7,891939,1.604,0.7497,https://static.semrush.com/power-pages/media/favicons/ticketmaster-com-favicon-3b5c8f80.png,Ticketmaster
genius.com,16,8,829055,1.7344,0.7065,https://static.semrush.com/power-pages/media/favicons/genius-com-favicon-b59f5c6e.ico,Genius
screenrant.com,17,9,789667,1.1766,0.8814,https://static.semrush.com/power-pages/media/favicons/screenrant-com-favicon-875b3c3c.png,Screen Rant
deviantart.com,18,0,788296,3.8032,0.4949,https://static.semrush.com/power-pages/media/favicons/deviantart-com-favicon-a4e32b90.png,DeviantArt
eventbrite.ie,19,-4,782384,1.6749,0.7122,,
entertainment.ie,20,-13,745196,1.8137,0.5026,,
