id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
live.com,1,0,6102413,2.9243,0.3656,,
office.com,2,0,5951962,2.1611,0.5597,https://static.semrush.com/power-pages/media/favicons/office-com-favicon-8f211ea6.ico,SmartSystem
outlook.com,3,16,1551708,1.4077,0.7537,https://static.semrush.com/power-pages/media/favicons/outlook-com-favicon-ac16fa7f.ico,Outlook
gmail.com,4,14,1171283,1.1576,0.8511,https://static.semrush.com/power-pages/media/favicons/gmail-com-favicon-f3418a44.ico,Gmail
stackoverflow.com,5,-2,1043690,1.2696,0.883,https://static.semrush.com/power-pages/media/favicons/stackoverflow-com-favicon-d2a17223.ico,Stack Overflow
wordpress.com,6,1,925918,2.6431,0.6009,https://static.semrush.com/power-pages/media/favicons/wordpress-com-favicon-f9797465.png,WordPress
realexpayments.com,7,-3,721998,1.2833,0.837,,
onetouchhealth.net,8,0,675115,2.619,0.2283,,
atlassian.net,9,-1,542662,3.6613,0.4103,,
stripe.com,10,-5,476678,1.4926,0.7492,,
dropbox.com,11,-5,474741,1.681,0.7116,https://static.semrush.com/power-pages/media/favicons/dropbox-com-favicon-5346f07d.png,Dropbox
speedtest.net,12,1,473250,1.2579,0.8312,https://static.semrush.com/power-pages/media/favicons/speedtest-net-favicon-b9ced8c4.png,Speedtest
okta.com,13,9,426073,2.1665,0.4988,,Okta
wetransfer.com,14,-3,421497,1.9719,0.6544,https://static.semrush.com/power-pages/media/favicons/wetransfer-com-favicon-bc5b180f.png,WeTransfer
truelayer.com,15,8,420775,1.4743,0.6928,,
azure.com,16,0,408756,1.8751,0.7319,https://static.semrush.com/power-pages/media/favicons/azure-com-favicon-4a04df31.png,Bright Skills AB
surveymonkey.com,17,0,407363,1.5715,0.8026,https://static.semrush.com/power-pages/media/favicons/surveymonkey-com-favicon-fff1c96e.png,Survey Monkey
nookal.com,18,0,398385,6.1282,0.0256,,
slack.com,19,-5,394540,1.8979,0.5935,https://static.semrush.com/power-pages/media/favicons/slack-com-favicon-9834ad36.png,Slack
gofile.io,20,-8,380036,2.8591,0.4359,,
