id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
indeed.com,1,0,4192781,3.7896,0.413,https://static.semrush.com/power-pages/media/favicons/indeed-com-favicon-121a0618.ico,
16personalities.com,2,9,191079,1.694,0.8558,,
bamboohr.com,3,-1,186848,2.8566,0.4873,,
talent.com,4,2,149795,2.5138,0.1901,,
jooble.org,5,3,143947,1.7606,0.6994,https://static.semrush.com/power-pages/media/favicons/jooble-org-favicon-7abfd684.png,Jooble
smartrecruiters.com,6,-2,137104,2.0378,0.5577,,
occupop.com,7,3,94542,1.3485,0.7343,,
shl.com,8,0,81554,4.1524,0.3909,,
remote.com,9,0,62627,1.0266,0.9842,,
workday.com,10,7,54453,2.2939,0.5346,,
seek.com.au,11,5,50100,2.942,0.56,https://static.semrush.com/power-pages/media/favicons/www-seek-com-au-favicon-85cc3322.png,SEEK
workable.com,12,-5,48557,1.9203,0.5097,,
ashbyhq.com,13,-1,47346,1.043,0.9714,,
brighthr.com,14,-9,46971,2.5722,0.4334,,
achievers.com,15,0,41538,1.9837,0.2622,,
jobrapido.com,16,-13,39814,2.0436,0.387,,
hrlocker.com,17,-8,36844,6.5063,0.1256,,
dayforcehcm.com,18,0,35556,2.5245,0.3324,,
adp.com,19,-4,34033,1.7323,0.5614,https://static.semrush.com/power-pages/media/favicons/adp-com-favicon-81349678.ico,ADP
personio.com,20,-7,27873,2.9457,0.1538,,
