id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
daft.ie,1,0,7385334,2.2921,0.6028,,
myhome.ie,2,1,1518855,1.9623,0.61,,
airbnb.ie,3,-1,979933,2.6115,0.5984,,
rent.ie,4,2,289926,4.6373,0.1165,,
rightmove.co.uk,5,2,246002,2.1183,0.793,https://static.semrush.com/power-pages/media/favicons/rightmove-co-uk-favicon-90d305af.png,RightMove
imobiliare.ro,6,8,196865,2.8584,0.1612,,
idealista.com,7,1,191355,6.7286,0.2221,,idealista
propertypal.com,8,-3,191078,1.2903,0.7702,,
rtb.ie,9,8,176731,2.8623,0.5215,,
vrbo.com,10,-6,160534,1.4022,0.7992,https://static.semrush.com/power-pages/media/favicons/vrbo-com-favicon-7947742b.png,VRBO
imoradar24.ro,11,8,153225,2.0667,0.4667,,
avizo.cz,12,0,143010,8.4286,0.2857,,
airbnb.co.uk,13,3,135705,1.536,0.6305,https://static.semrush.com/power-pages/media/favicons/www-airbnb-co-uk-favicon-31ed5c40.png,Airbnb UK
sherryfitz.ie,14,-2,115249,3.4788,0.4374,,
property.ie,15,-4,113210,4.3163,0.4789,,
landdirect.ie,16,7,102260,2.8418,0.2089,,
otodom.pl,17,0,73088,1.7061,0.5826,https://static.semrush.com/power-pages/media/favicons/otodom-pl-favicon-863b2f51.png,Otodom
mitula.ie,18,4,72556,2.064,0.5287,,
skyscrapercity.com,19,2,71883,6.2007,0.1583,,Skyscraper City
zoopla.co.uk,20,-2,71621,1.9249,0.3509,https://static.semrush.com/power-pages/media/favicons/zoopla-co-uk-favicon-bb48e93e.png,Zoopla
