id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
just-eat.ie,1,0,1521963,1.9786,0.4866,,
apache.ie,2,0,428793,3.7955,0.3739,,
deliveroo.ie,3,0,420755,2.4224,0.5745,,
dominos.ie,4,0,360287,2.686,0.4792,,
whatsfordinner.ie,5,1,237657,3.7136,0.3954,,
sanmarino.ie,6,2,186053,1.4015,0.6105,,
nandos.co.uk,7,3,164907,1.0208,0.9916,,
opentable.com,8,4,164314,1.2991,0.8588,,
camile.ie,9,11,134949,2.0442,0.4388,,
ubereats.com,10,3,94685,1.7702,0.6573,,Uber Eats
mcdonalds.com,11,5,94471,2.8847,0.6002,https://static.semrush.com/power-pages/media/favicons/mcdonalds-com-favicon-56ed9994.jpg,McDonald's
fourstarpizza.ie,12,-7,90387,1.6483,0.6282,,
just-eat.co.uk,13,2,66101,1.9838,0.5766,,Just-Eat UK
pizzahutdelivery.ie,14,-5,65778,2.8555,0.3539,,
resdiary.com,15,4,64152,1.0898,0.9391,,
preoday.com,16,0,62646,1.1631,0.8369,,
dominos.co.uk,17,0,61009,1.4588,0.681,,Domino's Pizza UK
mcdonalds.ro,18,0,51075,1.2,0.8,,
touchtakeaway.net,19,0,48383,3.7621,0.4223,,
wowburger.ie,20,0,33173,1.7274,0.6642,,
