id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
inn.co.il,1,0,18342593,1.3862,0.7714,,
booking.com,2,0,3446438,4.1257,0.3877,https://static.semrush.com/power-pages/media/favicons/booking-com-favicon-faedfe66.ico,Booking.com
tripadvisor.co.il,3,0,655553,1.5578,0.6859,,
agoda.com,4,0,324044,2.1527,0.5793,https://static.semrush.com/power-pages/media/favicons/agoda-com-favicon-d79c3f25.ico,Agoda
fattal.co.il,5,2,256738,2.8768,0.4237,,
simplebooking.it,6,-1,232629,1.3149,0.7808,,
sanatoriums.com,7,0,168713,3.1751,0.5443,,
hotels.com,8,4,159095,2.891,0.5964,,
marriott.com,9,0,145885,2.7841,0.4482,https://static.semrush.com/power-pages/media/favicons/marriott-com-favicon-ae4adb29.png,Marriott
daka90.co.il,10,-4,133611,3.4094,0.2672,,
brownhotels.com,11,16,116194,1.9159,0.6861,,
reserve-online.net,12,5,109547,1.1876,0.8441,,
hilton.com,13,0,89443,1.8264,0.6025,,Hilton Worldwide
barcelo.com,14,-4,83175,3.4706,0.63,,
hyatt.com,15,-4,80561,2.5868,0.2465,,Hyatt
spaplus.co.il,16,-8,66685,2.3863,0.4181,,
atlas.co.il,17,7,65454,2.9503,0.3848,,
hotels.co.il,18,12,62146,1.6328,0.6519,,
trivago.com,19,0,55235,2.0719,0.5021,,Trivago
abnb.me,20,-4,53782,1.2416,0.7712,,
