id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
onelink.to,1,1,4498013,1.3157,0.7838,,
office.com,2,-1,3499399,1.6457,0.6812,https://static.semrush.com/power-pages/media/favicons/office-com-favicon-8f211ea6.ico,SmartSystem
stackoverflow.com,3,0,2825723,1.3358,0.8177,https://static.semrush.com/power-pages/media/favicons/stackoverflow-com-favicon-d2a17223.ico,Stack Overflow
live.com,4,0,2604073,2.5288,0.4906,,
partner.co.il,5,2,2388582,1.7046,0.7126,,
atlassian.net,6,0,1455678,3.6299,0.4785,,
monday.com,7,1,1351354,2.549,0.5687,https://static.semrush.com/power-pages/media/favicons/www-monday-com-favicon-ff041717.ico,monday.com
netsparkmobile.com,8,-3,1213806,1.4961,0.6178,,
speedtest.net,9,5,1096694,1.4084,0.7667,https://static.semrush.com/power-pages/media/favicons/speedtest-net-favicon-b9ced8c4.png,Speedtest
dropbox.com,10,1,1085670,1.8955,0.6196,https://static.semrush.com/power-pages/media/favicons/dropbox-com-favicon-5346f07d.png,Dropbox
wordpress.com,11,1,1022093,1.5271,0.7731,https://static.semrush.com/power-pages/media/favicons/wordpress-com-favicon-f9797465.png,WordPress
malam-payroll.com,12,-3,933874,2.1601,0.5293,,
okta.com,13,0,916639,2.6273,0.4086,,Okta
formtitan.com,14,3,894277,1.3519,0.7471,,
yandex.com,15,-5,872879,2.0195,0.5744,,Yandex
wetransfer.com,16,-1,749080,1.8538,0.6142,https://static.semrush.com/power-pages/media/favicons/wetransfer-com-favicon-bc5b180f.png,WeTransfer
salesforce.com,17,1,617093,11.9936,0.3598,https://static.semrush.com/power-pages/media/favicons/salesforce-com-favicon-ccda8df0.ico,Salesforce
outlook.com,18,2,607676,1.2533,0.8299,https://static.semrush.com/power-pages/media/favicons/outlook-com-favicon-ac16fa7f.ico,Outlook
gofile.io,19,4,596630,2.9379,0.4931,,
openathens.net,20,2,544379,3.5922,0.4394,,
