id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
miluim.idf.il,1,1,2451396,2.8372,0.4285,,
partner.co.il,2,2,2388582,1.7046,0.7126,,
samsung.com,3,-2,2113524,1.875,0.7141,https://static.semrush.com/power-pages/media/favicons/samsung-com-favicon-fe8c4b2a.png,Samsung
rami-levy.co.il,4,1,1990293,1.4395,0.7657,,
bezeq.co.il,5,1,1579822,1.9482,0.6015,,
pelephone.co.il,6,2,1325611,1.9261,0.6133,,
netsparkmobile.com,7,-4,1213806,1.4961,0.6178,,
cellcom.co.il,8,-1,1187947,2.2973,0.5995,,
speedtest.net,9,0,1096694,1.4084,0.7667,https://static.semrush.com/power-pages/media/favicons/speedtest-net-favicon-b9ced8c4.png,Speedtest
sms2010.co.il,10,0,897616,4.6835,0.3224,,
hotmobile.co.il,11,1,804461,1.7359,0.6154,,
hot.net.il,12,-1,613832,1.7612,0.6998,,
gomobile.co.il,13,0,539706,2.0739,0.5969,,
gsmarena.com,14,0,473730,2.9938,0.4397,https://static.semrush.com/power-pages/media/favicons/gsmarena-com-favicon-3c06be64.ico,GSMArena
kamaze.co.il,15,0,451462,1.7524,0.6772,,
dontkillmyapp.com,16,0,276910,1.7274,0.2935,,
truecaller.com,17,4,255610,1.296,0.8252,,Truecaller
019mobile.co.il,18,0,216970,1.6528,0.5963,,
fast.com,19,-3,208882,1.1208,0.8996,https://static.semrush.com/power-pages/media/favicons/fast-com-favicon-bbdb943e.png,
golantelecom.co.il,20,-1,182697,1.9087,0.5182,,
