id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
google.com,1,0,3252011629,3.3052,0.4122,https://static.semrush.com/power-pages/media/favicons/google-com-favicon-f3418a44.ico,Google
youtube.com,2,0,1252165504,4.9795,0.3736,https://static.semrush.com/power-pages/media/favicons/youtube-com-favicon-88b01f68.png,YouTube
facebook.com,3,0,424464413,2.4651,0.5626,https://static.semrush.com/power-pages/media/favicons/facebook-com-favicon-d2850d31.ico,Facebook
wikipedia.org,4,0,330131538,1.9095,0.6307,https://static.semrush.com/power-pages/media/favicons/wikipedia-org-favicon-904ce6bd.ico,Wikipedia
google.it,5,1,250619081,3.6705,0.3243,,Google Italy
amazon.it,6,-1,245016498,4.3422,0.4587,https://static.semrush.com/power-pages/media/favicons/amazon-it-favicon-ca6619b8.ico,Amazon Italy
corriere.it,7,0,233988324,3.5046,0.379,https://static.semrush.com/power-pages/media/favicons/corriere-it-favicon-5f736b9e.png,Corriere.it
repubblica.it,8,0,211844805,2.5811,0.464,https://static.semrush.com/power-pages/media/favicons/repubblica-it-favicon-a4466360.png,La Repubblica
pornhub.com,9,0,209140407,6.922,0.1752,https://static.semrush.com/power-pages/media/favicons/pornhub-com-favicon-bf5b6c80.ico,Pornhub
gazzetta.it,10,1,181502050,3.1965,0.3966,https://static.semrush.com/power-pages/media/favicons/gazzetta-it-favicon-b28bf19d.ico,
ansa.it,11,2,160523581,2.3399,0.494,https://static.semrush.com/power-pages/media/favicons/ansa-it-favicon-df1d3550.png,ANSA
instagram.com,12,-2,155209093,2.0095,0.6953,https://static.semrush.com/power-pages/media/favicons/instagram-com-favicon-b407fa10.png,Instagram
mediaset.it,13,-1,131984667,2.5275,0.4621,,Mediaset
animeunity.to,14,0,108539999,2.3707,0.5468,,
ilfattoquotidiano.it,15,6,95996084,2.062,0.5369,https://static.semrush.com/power-pages/media/favicons/ilfattoquotidiano-it-favicon-7a21e657.png,Il Fatto Quotidiano
subito.it,16,3,93886138,3.8545,0.4136,https://static.semrush.com/power-pages/media/favicons/subito-it-favicon-d13a5ce5.png,Subito.it
poste.it,17,-2,91377114,3.4433,0.3241,https://static.semrush.com/power-pages/media/favicons/poste-it-favicon-3cbac548.ico,Poste Italiane
3bmeteo.com,18,2,88330270,2.9639,0.3768,https://static.semrush.com/power-pages/media/favicons/3bmeteo-com-favicon-3df98485.png,3BMeteo
whatsapp.com,19,-3,84223610,1.3813,0.7884,,WhatsApp
ilmeteo.it,20,-2,83459854,2.8149,0.4314,https://static.semrush.com/power-pages/media/favicons/ilmeteo-it-favicon-5c9e51d9.png,iLMeteo
