id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
zalando.it,1,0,11674587,5.3101,0.4297,,Zalando Italy
vinted.it,2,0,11448717,6.9833,0.3167,,
shein.com,3,0,8710640,3.8465,0.6038,https://static.semrush.com/power-pages/media/favicons/shein-com-favicon-47ceee2d.png,SHEIN
vogue.it,4,1,3865210,1.2287,0.8429,,
asos.com,5,1,2401371,3.6806,0.5059,,ASOS
hm.com,6,3,2016800,4.0701,0.5417,https://static.semrush.com/power-pages/media/favicons/hm-com-favicon-1732fb0a.png,H&M
zara.com,7,-3,1982576,2.3644,0.5401,https://static.semrush.com/power-pages/media/favicons/zara-com-favicon-c65ba3c7.png,Zara
adidas.it,8,2,1969616,1.8233,0.6555,,
privalia.com,9,4,1889765,2.5307,0.5255,,Privalia
matrimonio.com,10,4,1860683,2.8487,0.6596,,
zalando-prive.it,11,-3,1783330,3.3694,0.4434,,
bonprix.it,12,12,1543354,4.0406,0.4915,,
cisalfasport.it,13,-2,1423083,3.6894,0.4502,,
ovs.it,14,-7,1380127,4.4455,0.3526,,
jdsports.it,15,7,1348606,2.6335,0.5329,,
yoox.com,16,4,1318364,5.2484,0.5014,,Yoox
mercatinousato.com,17,0,1229217,4.0542,0.4461,,
mango.com,18,-3,1144234,3.49,0.5209,,
prenatal.com,19,0,1130624,2.9018,0.5774,,
maxisport.com,20,1,1094990,3.821,0.4012,,
