id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
spotify.com,1,0,16356263,2.0619,0.5946,https://static.semrush.com/power-pages/media/favicons/spotify-com-favicon-ff2831d2.png,Spotify
ticketone.it,2,0,13586187,3.1491,0.4431,,
mercatinomusicale.com,3,0,4853049,4.51,0.2762,,
genius.com,4,0,4271558,1.5355,0.7611,https://static.semrush.com/power-pages/media/favicons/genius-com-favicon-b59f5c6e.ico,Genius
accordiespartiti.it,5,2,4146534,2.9746,0.5449,,
rockol.it,6,-1,3254494,1.3419,0.7917,,
angolotesti.it,7,1,3186914,1.3342,0.8198,,
discogs.com,8,-2,3025024,7.2146,0.3813,https://static.semrush.com/power-pages/media/favicons/discogs-com-favicon-bcb37f5d.png,Discogs
metalitalia.com,9,0,2979279,1.9738,0.556,,
strumentimusicali.net,10,1,2784162,3.5104,0.5053,,
thomann.de,11,4,2480065,5.0351,0.4948,,
ultimate-guitar.com,12,2,2361487,2.1473,0.6945,https://static.semrush.com/power-pages/media/favicons/ultimate-guitar-com-favicon-cf8d32b3.png,Ultimate Guitar
soundcloud.com,13,-3,1889653,1.649,0.6926,https://static.semrush.com/power-pages/media/favicons/soundcloud-com-favicon-cb20269e.ico,SoundCloud
bandcamp.com,14,-1,1844420,3.1427,0.4576,https://static.semrush.com/power-pages/media/favicons/bandcamp-com-favicon-d41b9011.png,Bandcamp
ticketmaster.it,15,3,1628376,2.2209,0.6248,,
amazon.de,16,-4,1612763,3.2946,0.561,https://static.semrush.com/power-pages/media/favicons/amazon-de-favicon-ca6619b8.ico,Mondkalender 2022
virginradio.it,17,4,1305361,1.7512,0.7119,,
blueshouse.it,18,9,1235731,1.1644,0.8678,,
ondarock.it,19,0,1215892,2.2527,0.593,,
last.fm,20,5,1067642,2.6133,0.6073,,
