id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
youtube.com,1,0,1252165504,4.9795,0.3736,https://static.semrush.com/power-pages/media/favicons/youtube-com-favicon-88b01f68.png,YouTube
wikipedia.org,2,0,330131538,1.9095,0.6307,https://static.semrush.com/power-pages/media/favicons/wikipedia-org-favicon-904ce6bd.ico,Wikipedia
corriere.it,3,0,233988324,3.5046,0.379,https://static.semrush.com/power-pages/media/favicons/corriere-it-favicon-5f736b9e.png,Corriere.it
repubblica.it,4,0,211844805,2.5811,0.464,https://static.semrush.com/power-pages/media/favicons/repubblica-it-favicon-a4466360.png,La Repubblica
gazzetta.it,5,1,181502050,3.1965,0.3966,https://static.semrush.com/power-pages/media/favicons/gazzetta-it-favicon-b28bf19d.ico,
ansa.it,6,2,160523581,2.3399,0.494,https://static.semrush.com/power-pages/media/favicons/ansa-it-favicon-df1d3550.png,ANSA
instagram.com,7,-2,155209093,2.0095,0.6953,https://static.semrush.com/power-pages/media/favicons/instagram-com-favicon-b407fa10.png,Instagram
mediaset.it,8,-1,131984667,2.5275,0.4621,,Mediaset
ilfattoquotidiano.it,9,1,95996084,2.062,0.5369,https://static.semrush.com/power-pages/media/favicons/ilfattoquotidiano-it-favicon-7a21e657.png,Il Fatto Quotidiano
3bmeteo.com,10,-1,88330270,2.9639,0.3768,https://static.semrush.com/power-pages/media/favicons/3bmeteo-com-favicon-3df98485.png,3BMeteo
twitter.com,11,0,69594930,1.8156,0.7259,https://static.semrush.com/power-pages/media/favicons/twitter-com-favicon-8ea219d0.png,Twitter
fantacalcio.it,12,0,66958428,2.1415,0.6233,,
sky.it,13,1,57735086,2.1724,0.6186,https://static.semrush.com/power-pages/media/favicons/sky-it-favicon-e1c4583f.ico,Sky Italia
dagospia.com,14,1,52096504,2.9765,0.3096,,Dagospia
fanpage.it,15,2,49875766,1.4752,0.7596,https://static.semrush.com/power-pages/media/favicons/fanpage-it-favicon-db56ff13.png,Fanpage
lastampa.it,16,0,45620898,2.1426,0.5101,https://static.semrush.com/power-pages/media/favicons/lastampa-it-favicon-2a5efc5f.png,La Stampa
tuttosport.com,17,-4,40804109,2.0921,0.5944,https://static.semrush.com/power-pages/media/favicons/www-tuttosport-com-favicon-af6dad46.png,Tuttosport
ilmessaggero.it,18,2,39304856,2.5578,0.5447,https://static.semrush.com/power-pages/media/favicons/ilmessaggero-it-favicon-8435364f.png,Il Messaggero
raiplay.it,19,8,36898539,2.1019,0.5833,https://static.semrush.com/power-pages/media/favicons/raiplay-it-favicon-f21032af.png,RaiPlay
ilsole24ore.com,20,2,36375417,1.678,0.6236,https://static.semrush.com/power-pages/media/favicons/ilsole24ore-com-favicon-7c6e2e5f.png,Il Sole 24 Ore
