id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
rakuten-sec.co.jp,1,0,83854107,6.8947,0.2436,https://static.semrush.com/power-pages/media/favicons/rakuten-sec-co-jp-favicon-6ad895b6.ico,Rakuten Securities
nikkei225jp.com,2,0,30488357,2.0037,0.6142,,
minkabu.jp,3,0,27436861,3.3072,0.5381,,
kabutan.jp,4,1,26744010,5.498,0.3686,,
rakuten-bank.co.jp,5,-1,18897866,5.5171,0.3298,,
bloomberg.co.jp,6,1,16531770,1.4306,0.7573,,
yahoo.com,7,2,16089889,2.557,0.5559,,Yahoo
ecnavi.jp,8,-2,15763230,9.4522,0.3128,https://static.semrush.com/power-pages/media/favicons/ecnavi-jp-favicon-6ad7a617.ico,EC Navi
moppy.jp,9,-1,14152462,3.6427,0.3888,,
aeon.co.jp,10,0,13950847,4.8264,0.3324,,
reuters.com,11,0,11046035,1.3249,0.8242,https://static.semrush.com/power-pages/media/favicons/reuters-com-favicon-3d79a36b.png,Reuters
smbcnikko.co.jp,12,4,9439855,5.1019,0.4903,,
veritrans.co.jp,13,0,7650820,1.3874,0.8281,,
gentosha-go.com,14,-2,6868291,1.6554,0.6731,,
eposcard.co.jp,15,-1,6354996,4.7354,0.4262,,
xmtrading.com,16,2,6337031,2.5621,0.6039,,
tradingview.com,17,2,5775313,2.0433,0.6111,https://static.semrush.com/power-pages/media/favicons/tradingview-com-favicon-5ce990e1.png,TradingView
paypal.com,18,-3,5617302,3.5552,0.2876,https://static.semrush.com/power-pages/media/favicons/paypal-com-favicon-ed31bc43.png,PayPal
investing.com,19,1,4940860,1.4399,0.7311,https://static.semrush.com/power-pages/media/favicons/investing-com-favicon-dcdc244b.png,
rakuten-sec.net,20,-3,4579100,2.2294,0.6074,,
