id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
kurashiru.com,1,0,84173347,1.4146,0.7669,,
duckduckgo.com,2,0,65183836,2.9059,0.4432,https://static.semrush.com/power-pages/media/favicons/duckduckgo-com-favicon-6a39c9fc.png,DuckDuckGo
macaro-ni.jp,3,1,39478869,1.7013,0.6393,https://static.semrush.com/power-pages/media/favicons/macaro-ni-jp-favicon-494ef50a.png,
delishkitchen.tv,4,-1,39275288,1.1844,0.8619,https://static.semrush.com/power-pages/media/favicons/delishkitchen-tv-favicon-3cee3d24.png,Delish Kitchen
oceans-nadia.com,5,0,34036421,1.5793,0.7595,https://static.semrush.com/power-pages/media/favicons/oceans-nadia-com-favicon-513f80f9.ico,
lettuceclub.net,6,0,21335129,5.4128,0.6358,,
suntory.co.jp,7,6,20245078,3.667,0.4469,,Suntory
mcdonalds.co.jp,8,-1,20155731,2.7983,0.4348,,McDonalds Japan
sirogohan.com,9,-1,19521840,1.6971,0.6598,,
ajinomoto.co.jp,10,-1,17326948,1.4581,0.8004,,
starbucks.co.jp,11,-1,16187230,2.7127,0.464,,
family.co.jp,12,-1,13699057,1.6994,0.6543,,
kyounoryouri.jp,13,-1,12020799,1.5962,0.7802,,
kinarino.jp,14,0,9545793,1.5314,0.7517,,
dmwiki.net,15,0,8679431,5.8122,0.3384,,
orangepage.net,16,0,8222824,1.3656,0.8237,,
cotta.jp,17,8,7706195,2.4919,0.678,,
dominos.jp,18,0,7677698,2.4648,0.4073,,
mi-journey.jp,19,-2,7547040,1.204,0.8805,,
owst.jp,20,0,6492563,1.9563,0.5937,,
