id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
gamdom.com,1,0,4279041,1.3015,0.7338,,
stake.com,2,2,1390373,3.085,0.6071,,
bet-channel.com,3,-1,558014,2.0908,0.5172,,
pokerguild.jp,4,-1,554972,2.4491,0.4812,,
mega.io,5,8,459534,2.1448,0.5232,,
universal-777.com,6,2,439048,1.2754,0.8276,,
gamer2.jp,7,-2,258698,1.0943,0.9057,,
verajohn.com,8,3,235101,5.802,0.3129,,
turfomania.fr,9,0,204840,22.025,0.175,,
zeturf.fr,10,0,189477,14.1622,0.1622,,
1xbet.com,11,1,187948,2.2252,0.7322,,
bet365.com,12,-6,158805,1.5583,0.5794,,Bet365
bloodhorse.com,13,0,123315,1.5931,0.5315,,
racingpost.com,14,10,118942,5.3207,0.6196,,
hkjc.com,15,8,108218,2.0539,0.3105,https://static.semrush.com/power-pages/media/favicons/hkjc-com-favicon-444422b3.ico,Hong Kong Jockey Club
travis.ne.jp,16,3,93300,1.3333,0.75,,
vegas-online.jp,17,-7,88954,1.2622,0.8252,,
eacdn.com,18,9,79273,1.2221,0.7779,,
gaming.net,19,-1,73661,1.2492,0.8754,,
caliente.mx,20,-5,65990,1.0001,1.0,,Caliente.mx
