id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
atwiki.jp,1,0,295250922,3.3946,0.453,,
wikiwiki.jp,2,0,274136213,3.2781,0.4475,,WikiWiki
twitch.tv,3,0,123754979,2.5336,0.5219,https://static.semrush.com/power-pages/media/favicons/twitch-tv-favicon-d6025c14.png,Twitch
gamerch.com,4,0,47004843,2.5675,0.538,,
famitsu.com,5,0,45034629,1.6489,0.7161,https://static.semrush.com/power-pages/media/favicons/famitsu-com-favicon-8243e475.png,Famitsu
nintendo.com,6,0,43614600,4.2744,0.4183,https://static.semrush.com/power-pages/media/favicons/nintendo-com-favicon-e9fcbb0f.ico,Nintendo
4gamer.net,7,0,39840480,1.4334,0.7606,,
steampowered.com,8,0,36049809,2.0323,0.6495,,Steam
automaton-media.com,9,1,30332987,1.3138,0.8113,,
denfaminicogamer.jp,10,-1,27268457,1.4439,0.7998,,
nintendo.co.jp,11,0,24426843,1.9808,0.6373,https://static.semrush.com/power-pages/media/favicons/www-nintendo-co-jp-favicon-2b20a936.png,Nintendo Japan
gamespark.jp,12,0,24418512,1.9751,0.6793,,
discord.com,13,1,22556950,2.329,0.567,https://static.semrush.com/power-pages/media/favicons/discord-com-favicon-07dca80a.ico,Discord
finalfantasyxiv.com,14,-1,18782222,3.6636,0.5553,,Final Fantasy XIV
playstation.com,15,2,18409732,1.7853,0.6863,https://static.semrush.com/power-pages/media/favicons/playstation-com-favicon-475f3690.png,PlayStation
hoyolab.com,16,2,17439784,2.1902,0.5891,,
dengekionline.com,17,-2,16509921,1.55,0.8049,,
square-enix.com,18,-2,16479128,2.0767,0.6529,,
swiki.jp,19,0,15796924,3.2825,0.4589,,
granbluefantasy.jp,20,0,13716815,32.8327,0.3684,,
