id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
macromill.com,1,0,13024279,3.7895,0.3558,,
cross-m.co.jp,2,0,4052319,3.4241,0.407,,
surveymonkey.com,3,0,2709321,1.4413,0.7379,https://static.semrush.com/power-pages/media/favicons/surveymonkey-com-favicon-fff1c96e.png,Survey Monkey
cint.com,4,0,2339810,2.5509,0.2923,https://static.semrush.com/power-pages/media/favicons/cint-com-favicon-4d4d06c0.png,Cint
qualtrics.com,5,0,1697514,1.2047,0.8233,https://static.semrush.com/power-pages/media/favicons/qualtrics-com-favicon-0a491c21.png,Qualtrics
ssisurveys.com,6,0,1020801,1.537,0.5865,,
intage.co.jp,7,1,958948,7.7324,0.321,,
oka-neko.com,8,1,899213,1.1907,0.8146,,
mfmb.jp,9,1,586506,6.8686,0.2973,,
fp2-siken.com,10,-3,510807,2.3926,0.5957,,
decipherinc.com,11,0,341578,2.6906,0.4597,,
ms-r.com,12,1,329378,2.6735,0.4448,,
yamada-enq.jp,13,-1,271247,1.4158,0.7645,,
supcolo.jp,14,1,270571,2.6929,0.4842,,
tolunastart.com,15,-1,246096,2.0,0.0948,,
dime-dime.com,16,6,225475,1.8621,0.6207,,
confirmit.com,17,-1,215241,1.4707,0.6572,,
lifepointspanel.com,18,1,212914,1.3344,0.8662,,
gkwiki5.com,19,4,202150,2.3077,0.2692,,
pureprofile.com,20,-3,172738,6.2717,0.4872,,
