id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
best-hit.tv,1,0,25683136,3.3051,0.3704,,
jleague.jp,2,9,8511607,2.8941,0.4931,,
goal.com,3,-1,7424068,1.6591,0.7324,https://static.semrush.com/power-pages/media/favicons/goal-com-favicon-f02a1ed1.png,Goal.com
soccerdigestweb.com,4,-1,7360743,1.9292,0.603,,
gekisaka.jp,5,0,5913356,1.62,0.7906,,
football-zone.net,6,2,5756425,1.357,0.7861,,
soccer-king.jp,7,-3,5636282,1.5115,0.7752,,
dazn.com,8,-2,5075576,1.6799,0.679,https://static.semrush.com/power-pages/media/favicons/dazn-com-favicon-5d3b9983.png,DAZN
basketballbbs.com,9,3,4617415,2.3949,0.4059,,
motorsport.com,10,5,4074821,1.6358,0.6726,https://static.semrush.com/power-pages/media/favicons/www-motorsport-com-favicon-14ace5dd.png,Motorsport.com
footballchannel.jp,11,-1,3364037,3.8969,0.4892,,
sportingnews.com,12,1,3096114,1.333,0.7765,https://static.semrush.com/power-pages/media/favicons/www-sportingnews-com-favicon-ee674e14.ico,Sporting News
npb.jp,13,-4,3023460,2.2755,0.6494,,
espn.com,14,4,2943518,2.8832,0.4476,https://static.semrush.com/power-pages/media/favicons/espn-com-favicon-bb60826b.png,ESPN
jfa.jp,15,-8,2168980,4.8307,0.5197,,
ultra-soccer.jp,16,0,2131338,1.5332,0.7434,,
football-tribe.com,17,-3,2127609,1.5075,0.7431,,
baystars.co.jp,18,0,1925750,3.6406,0.4781,,
sanfrecce.co.jp,19,0,1832345,2.3017,0.6026,,
bleague.jp,20,3,1668997,3.9409,0.432,,
