id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
maybank2u.com.my,1,0,37522674,3.4854,0.436,,Maybank
cimbclicks.com.my,2,0,15730021,1.4371,0.7178,,CIMB Clicks
rhbgroup.com,3,1,8856951,1.7192,0.7543,,
pbebank.com,4,-1,8515955,2.2448,0.5668,,Public Bank BERHAD
hlb.com.my,5,3,4606578,1.5382,0.6966,,
wise.com,6,1,4341154,1.7413,0.7195,,
cimb.com.my,7,-2,4307398,2.4359,0.6243,,
ptptn.gov.my,8,-2,3750746,2.3523,0.5411,,
hongleongconnect.my,9,1,2759923,4.8421,0.3975,,
aeoncredit.com.my,10,-1,2573049,3.7004,0.6254,,
ringgitplus.com,11,1,2309269,2.4392,0.621,,
uob.com.my,12,-1,2168374,3.7252,0.563,,
maybank.com,13,2,1449689,3.0634,0.1297,,
xe.com,14,8,1339424,1.2427,0.8634,https://static.semrush.com/power-pages/media/favicons/xe-com-favicon-592e3c52.ico,XE.com
mypt3.com,15,-2,1332498,1.1972,0.8457,,
pbenterprise.com,16,-2,1330356,5.314,0.1444,,
ocbc.com.my,17,1,1181971,2.6853,0.5652,,
bnm.gov.my,18,1,1107531,2.8726,0.5704,,
hsbc.com.my,19,2,1067246,2.3717,0.6239,,
amonline.com.my,20,4,996305,2.5151,0.5998,,
