id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
openai.com,1,0,30595602,1.6758,0.6901,,
office.com,2,0,25029698,1.7402,0.5979,https://static.semrush.com/power-pages/media/favicons/office-com-favicon-8f211ea6.ico,SmartSystem
wordpress.com,3,2,16641863,3.4934,0.5732,https://static.semrush.com/power-pages/media/favicons/wordpress-com-favicon-f9797465.png,WordPress
canva.com,4,-1,15032717,2.4507,0.5153,,Canva
me-qr.com,5,3,12687137,1.4785,0.7135,,
telegram.org,6,-2,10474748,1.8017,0.5838,,Telegram
discord.com,7,0,9488468,1.6014,0.7425,https://static.semrush.com/power-pages/media/favicons/discord-com-favicon-07dca80a.ico,Discord
zoom.us,8,2,9215657,1.9807,0.5682,https://static.semrush.com/power-pages/media/favicons/zoom-us-favicon-6216d0f4.ico,Zoom
onelink.to,9,0,9173213,1.5837,0.7878,,
github.com,10,-4,8177249,1.602,0.7076,https://static.semrush.com/power-pages/media/favicons/github-com-favicon-346e0947.png,GitHub
imgur.com,11,0,6675656,1.3828,0.7998,https://static.semrush.com/power-pages/media/favicons/imgur-com-favicon-c0c62393.png,Imgur
auth0.com,12,1,6249479,2.6771,0.1513,,
snaptik.app,13,1,5099494,1.4606,0.7859,https://static.semrush.com/power-pages/media/favicons/snaptik-app-favicon-e4fed3c3.png,
adobe.com,14,1,4495889,1.7023,0.6921,https://static.semrush.com/power-pages/media/favicons/adobe-com-favicon-9940bec6.png,Adobe
discordapp.com,15,2,3874423,1.6756,0.7237,,
shorturl.at,16,3,3652242,1.2363,0.826,,
dropbox.com,17,3,3617141,1.773,0.6328,https://static.semrush.com/power-pages/media/favicons/dropbox-com-favicon-5346f07d.png,Dropbox
uptodown.com,18,3,3221122,3.3998,0.2921,https://static.semrush.com/power-pages/media/favicons/uptodown-com-favicon-55d57fe9.ico,Uptodown
wps.com,19,-7,3083097,1.8038,0.6409,,
ilovepdf.com,20,-4,2962625,3.7633,0.3194,https://static.semrush.com/power-pages/media/favicons/ilovepdf-com-favicon-e7f31a42.png,iLovePDF
