id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
sportstoto.com.my,1,0,1545329,2.2145,0.574,,
forebet.com,2,4,485034,5.2764,0.2596,,
pokernow.club,3,1,299579,1.716,0.5583,,
arkadium.com,4,8,297738,1.0441,0.9734,,
mega.io,5,10,236891,1.1928,0.9037,,
betcris.com,6,0,231129,1.6087,0.4783,,
gdlotto.com,7,1,201518,1.9267,0.7377,,
asiawin33.com,8,0,148894,1.248,0.752,,
hawk.live,9,-6,144387,1.2807,0.838,,
nolimitcity.com,10,0,143008,1.125,0.875,,
asianbookie.com,11,10,119610,7.3843,0.3695,,
888casino.com,12,14,114294,1.1667,0.8333,,
mytopaff.com,13,1,111948,1.0,1.0,,
wheeldecide.com,14,0,109801,1.0146,0.9891,,
irace.com.sg,15,-10,97390,1.5498,0.7865,,
stake.com,16,-3,96046,1.5416,0.4647,,
pragmaticplay.com,17,0,84222,2.2059,0.5959,,
livescore.in,18,0,76028,1.6824,0.6225,https://static.semrush.com/power-pages/media/favicons/www-livescore-in-favicon-2a0011d0.png,LiveScore India
slotomania.com,19,-2,73728,2.8015,0.2873,,
eacdn.com,20,-4,64387,1.0675,0.955,,
