id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
agoda.com,1,0,7650950,2.8602,0.516,https://static.semrush.com/power-pages/media/favicons/agoda-com-favicon-d79c3f25.ico,Agoda
airasia.com,2,0,6934703,2.2955,0.5665,,AirAsia
booking.com,3,0,5831885,3.3272,0.471,https://static.semrush.com/power-pages/media/favicons/booking-com-favicon-faedfe66.ico,Booking.com
trip.com,4,3,2308966,1.958,0.6445,https://static.semrush.com/power-pages/media/favicons/trip-com-favicon-8230f336.ico,
redbus.my,5,3,2090011,1.9459,0.6539,,
klook.com,6,-2,2081380,1.5337,0.7645,,
traveloka.com,7,4,1934731,1.5342,0.771,https://static.semrush.com/power-pages/media/favicons/traveloka-com-favicon-aee127cd.ico,Traveloka
publicholidays.com.my,8,-3,1925212,1.2782,0.7893,,
tripadvisor.com.my,9,0,1828420,1.3915,0.7771,,
tripadvisor.com,10,3,1686445,1.6168,0.7365,https://static.semrush.com/power-pages/media/favicons/tripadvisor-com-favicon-34583147.png,Tripadvisor
airbnb.com,11,-1,1384901,2.0305,0.624,,Airbnb
busonlineticket.com,12,7,1384245,3.1691,0.4229,,
rwgenting.com,13,-7,1288772,2.6958,0.5782,,
easybook.com,14,1,1208858,2.4009,0.6189,,
theborneopost.com,15,-3,1157932,1.654,0.7023,,
airbnb.co.uk,16,8,834072,2.0172,0.651,https://static.semrush.com/power-pages/media/favicons/www-airbnb-co-uk-favicon-31ed5c40.png,Airbnb UK
skyscanner.com.my,17,-3,790718,3.1121,0.3867,,
abnb.me,18,0,770481,1.8927,0.5609,,
train36.com,19,9,746529,1.9863,0.5312,,
malindoair.com,20,-3,700269,4.9861,0.2702,,
