id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
linktr.ee,1,0,9190489,1.3567,0.797,https://static.semrush.com/power-pages/media/favicons/linktr-ee-favicon-29afac0e.png,Linktree
hotmart.com,2,1,3775170,2.0161,0.6164,https://static.semrush.com/power-pages/media/favicons/hotmart-com-favicon-4c66673d.png,Hotmart
blogger.com,3,-1,2839771,1.7169,0.6834,,
smadex.com,4,8,2740717,3.9748,0.4107,,
wa.link,5,-1,2278033,1.1672,0.877,,
soicos.com,6,5,2236525,1.3135,0.8117,,
ipaper.io,7,-1,2192686,1.7495,0.6576,,
cutt.ly,8,-3,1924977,1.3221,0.7688,,Cuttly
storysaver.net,9,6,1627719,1.1676,0.89,,
hubspot.es,10,4,1554181,1.2007,0.8743,,
fb.com,11,-2,1360455,1.1082,0.9138,https://static.semrush.com/power-pages/media/favicons/fb-com-favicon-d2850d31.ico,
kochava.com,12,-4,1320764,1.2267,0.8919,,
letrasyfuentes.com,13,8,1276310,1.2739,0.8035,,
smallseotools.com,14,3,1253169,1.4676,0.6954,,
goo.su,15,13,1235799,1.2657,0.8619,,
kueskipay.com,16,0,1178402,2.6677,0.3932,,
merca20.com,17,-7,1176938,1.4546,0.8291,,
revjet.com,18,2,1123090,1.3078,0.8389,,
acortar.link,19,-6,1101920,1.447,0.8422,,
snapsave.app,20,-13,1032840,1.3116,0.7737,,
