id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
bbva.mx,1,0,16358496,1.5752,0.6996,,
banamex.com,2,0,12428446,2.8656,0.6265,,
santander.com.mx,3,1,6456830,3.0171,0.5771,,
kueski.com,4,-1,5738351,4.5101,0.3327,,
banorte.com,5,2,4944071,4.4813,0.4443,,
mitelcel.com,6,0,4634758,3.0525,0.4884,,
cetesdirecto.com,7,1,4078392,4.6327,0.4145,,
bancoazteca.com.mx,8,-3,3815634,1.7434,0.6689,,
bancoppel.com,9,2,3495189,1.7137,0.733,,
americanexpress.com,10,3,2857122,2.6025,0.5608,https://static.semrush.com/power-pages/media/favicons/americanexpress-com-favicon-974ccc6c.ico,American Express
bbvanet.com.mx,11,-1,2853656,5.5108,0.1256,,
cronista.com,12,0,2501344,1.1605,0.9063,https://static.semrush.com/power-pages/media/favicons/www-cronista-com-favicon-210690d6.png,El Cronista
klar.mx,13,4,2396369,1.8453,0.6976,,
clip.mx,14,2,1961079,1.4239,0.7417,,
bbvadescuentos.mx,15,11,1854423,1.1287,0.907,,
bb.com.mx,16,2,1679750,3.3575,0.2895,,
mastercard.com.mx,17,7,1363391,1.1046,0.9166,,
programa-mas.com.mx,18,-4,1291094,1.2343,0.8484,,
kardmatch.com.mx,19,0,1156095,1.3033,0.7743,,
wise.com,20,1,1079843,2.2472,0.7019,,
