id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
studocu.com,1,0,6714111,1.7441,0.7532,,
slideshare.net,2,0,5995644,1.2365,0.8442,https://static.semrush.com/power-pages/media/favicons/slideshare-net-favicon-af4544a8.ico,SlideShare
stackoverflow.com,3,1,3834709,1.2974,0.8192,https://static.semrush.com/power-pages/media/favicons/stackoverflow-com-favicon-d2a17223.ico,Stack Overflow
khanacademy.org,4,11,3362050,1.6411,0.705,https://static.semrush.com/power-pages/media/favicons/khanacademy-org-favicon-6b8b0c7b.png,Khan Academy
udemy.com,5,-2,3159813,3.374,0.4954,https://static.semrush.com/power-pages/media/favicons/udemy-com-favicon-21d92c84.png,Udemy
prezi.com,6,3,3013909,1.3954,0.7763,https://static.semrush.com/power-pages/media/favicons/prezi-com-favicon-6236be3d.png,Prezi
wordreference.com,7,-2,2971401,2.313,0.569,https://static.semrush.com/power-pages/media/favicons/wordreference-com-favicon-91adcbae.png,WordReference.com
duolingo.com,8,-2,2708460,1.7796,0.6583,https://static.semrush.com/power-pages/media/favicons/duolingo-com-favicon-bcce2029.ico,Duolingo
coursera.org,9,-1,2380395,3.0654,0.4859,https://static.semrush.com/power-pages/media/favicons/coursera-org-favicon-7169eafb.png,Coursera
domestika.org,10,-3,2239610,3.1488,0.6183,,
cambridge.org,11,2,1930948,2.2587,0.7163,https://static.semrush.com/power-pages/media/favicons/cambridge-org-favicon-3787ba24.ico,Cambridge
capacitateparaelempleo.org,12,-1,1928440,1.5898,0.6612,,
wordwall.net,13,-3,1829952,1.8408,0.6453,,Wordwall
liveworksheets.com,14,-2,1754191,1.9534,0.6512,,Live Worksheets
neolms.com,15,1,1635003,2.133,0.587,,
linguee.es,16,2,1560489,4.0098,0.5528,https://static.semrush.com/power-pages/media/favicons/www-linguee-es-favicon-b56b3c21.png,Linguee Spain
symbolab.com,17,4,1548940,3.3598,0.3596,,Symbolab
coursehero.com,18,1,1510600,2.4438,0.6011,https://static.semrush.com/power-pages/media/favicons/coursehero-com-favicon-5d445e34.png,Course Hero
ingles.com,19,8,1456503,2.3134,0.6919,,
geogebra.org,20,0,1322099,1.5754,0.7234,,
