id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
netflix.com,1,0,42761850,2.3583,0.5527,https://static.semrush.com/power-pages/media/favicons/netflix-com-favicon-41b45fdc.ico,Netflix
bing.com,2,0,39363141,4.9714,0.3011,,Bing
spotify.com,3,0,37569512,2.3859,0.5889,https://static.semrush.com/power-pages/media/favicons/spotify-com-favicon-ff2831d2.png,Spotify
tokyvideo.com,4,0,34368591,1.5044,0.7395,,
primevideo.com,5,0,26815721,1.9772,0.6686,https://static.semrush.com/power-pages/media/favicons/primevideo-com-favicon-7e8458b9.png,Prime Video
cinepolis.com,6,0,23716068,2.3356,0.5191,,Cinepolis
msn.com,7,0,20265483,3.4364,0.4899,https://static.semrush.com/power-pages/media/favicons/msn-com-favicon-84cc977d.ico,MSN
inmanga.com,8,3,15909389,3.7631,0.4999,,
hbomax.com,9,0,14755910,2.0115,0.596,https://static.semrush.com/power-pages/media/favicons/hbomax-com-favicon-97481bf8.ico,HBO Max
wattpad.com,10,2,13977927,2.8275,0.5774,,Wattpad
cuevana.pro,11,-1,13765175,3.557,0.4294,,
lectormanga.com,12,-4,13525606,1.865,0.6615,,
letras.com,13,0,12968968,1.4633,0.7748,https://static.semrush.com/power-pages/media/favicons/www-letras-com-favicon-fc305205.png,Letras
ticketmaster.com.mx,14,5,11797070,2.4548,0.5519,,
dailymotion.com,15,2,11568791,1.258,0.8317,,Dailymotion
doramasflix.co,16,2,10801800,1.3783,0.778,,
animeonline.ninja,17,0,10471381,3.6012,0.4062,,
crunchyroll.com,18,-3,9288131,2.3917,0.5901,,Crunchyroll
eneba.com,19,-5,9079362,4.4494,0.5427,,
novelcool.com,20,2,8800163,2.4165,0.4075,,
