id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
libertex.org,1,1,569059,1.3793,0.6748,,
vanguardmexico.com,2,0,540028,2.4904,0.4604,,
roboforex.com,3,1,466608,2.4385,0.6264,,
icmarkets.com,4,14,303606,1.7155,0.7469,,
myfxbook.com,5,-4,210835,3.7582,0.4305,,
blackrock.com,6,-1,135026,1.3342,0.8899,https://static.semrush.com/power-pages/media/favicons/blackrock-com-favicon-56bcf7f3.png,BlackRock
mql5.com,7,-4,120110,1.7555,0.693,,
forexfactory.com,8,-2,82042,1.5782,0.5554,,
vanguard.com,9,2,68516,2.3596,0.5241,,Vanguard
fintel.io,10,0,67183,1.2028,0.9855,,
admiralmarkets.com,11,-4,51394,1.0757,0.9621,,
ofdollarsanddata.com,12,0,44140,1.0,1.0,,
estrategiasdeinversion.com,13,17,41535,1.0937,0.9297,,
oppenheimer.com,14,0,32727,1.8919,0.2567,,
portfolioslab.com,15,0,26271,2.0,0.4815,,
inversorglobal.com,16,0,22513,1.0,1.0,,
trading.com,17,0,22070,1.0,1.0,,
gam.com,18,0,22070,1.0,1.0,,
sarwa.co,19,9,22070,1.0,1.0,,
nyse.com,20,2,20678,1.5899,0.798,,
