id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
bing.com,1,0,27514637,3.4943,0.4898,,Bing
netflix.com,2,0,19160906,2.2198,0.5253,https://static.semrush.com/power-pages/media/favicons/netflix-com-favicon-41b45fdc.ico,Netflix
spotify.com,3,0,9477520,2.2014,0.5527,https://static.semrush.com/power-pages/media/favicons/spotify-com-favicon-ff2831d2.png,Spotify
msn.com,4,0,7099676,3.4398,0.4547,https://static.semrush.com/power-pages/media/favicons/msn-com-favicon-84cc977d.ico,MSN
pathe.nl,5,1,4550458,3.2208,0.4194,,Pathe Theatres B.V.
videoland.com,6,2,4116226,2.1599,0.477,,
moviemeter.nl,7,-2,3947146,2.6636,0.547,,MovieMeter
disneyplus.com,8,3,3873384,2.8869,0.4035,https://static.semrush.com/power-pages/media/favicons/disneyplus-com-favicon-470cfd62.png,Disney Plus
primevideo.com,9,-2,3768331,2.4364,0.5019,https://static.semrush.com/power-pages/media/favicons/primevideo-com-favicon-7e8458b9.png,Prime Video
ticketmaster.nl,10,2,3759122,2.3281,0.481,,
deviantart.com,11,2,2647182,4.8306,0.4813,https://static.semrush.com/power-pages/media/favicons/deviantart-com-favicon-a4e32b90.png,DeviantArt
ziggogo.tv,12,-3,2622336,2.1258,0.4819,,
hbomax.com,13,4,2476959,2.2229,0.4707,https://static.semrush.com/power-pages/media/favicons/hbomax-com-favicon-97481bf8.ico,HBO Max
discogs.com,14,11,2295552,13.0052,0.3385,https://static.semrush.com/power-pages/media/favicons/discogs-com-favicon-bcb37f5d.png,Discogs
dailymotion.com,15,-5,2256182,1.4323,0.7448,,Dailymotion
rottentomatoes.com,16,13,1957073,1.9331,0.6133,https://static.semrush.com/power-pages/media/favicons/rottentomatoes-com-favicon-c1d0090d.jpg,Rotten Tomatoes
gamespot.com,17,5,1875859,1.3747,0.7829,https://static.semrush.com/power-pages/media/favicons/gamespot-com-favicon-793fe1ee.png,GameSpot
vimeo.com,18,1,1859986,2.5419,0.6159,https://static.semrush.com/power-pages/media/favicons/vimeo-com-favicon-c9d54cfe.png,Vimeo
genius.com,19,1,1856176,1.5487,0.7755,https://static.semrush.com/power-pages/media/favicons/genius-com-favicon-b59f5c6e.ico,Genius
filmvandaag.nl,20,-6,1743930,2.205,0.5889,,
