id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
funda.nl,1,0,32632129,4.8555,0.4055,https://static.semrush.com/power-pages/media/favicons/funda-nl-favicon-b28102b9.png,Funda
at5.nl,2,0,4725714,1.16,0.8793,,
huispedia.nl,3,2,1852973,1.9799,0.7149,,
eigenhuis.nl,4,3,1310042,1.3802,0.7601,,
woningnetregioamsterdam.nl,5,-1,1181304,2.5707,0.5297,,
fundainbusiness.nl,6,4,1049341,4.4991,0.4149,,
pararius.nl,7,-1,1011895,3.5734,0.4653,,
woonnetrijnmond.nl,8,-5,980406,7.1422,0.2426,,
deorkaan.nl,9,16,947882,1.735,0.5331,,
woonnet-haaglanden.nl,10,2,892635,5.1412,0.3549,,
kadastralekaart.com,11,0,765747,1.1764,0.8796,,
huurwoningen.nl,12,-3,763363,4.0733,0.3174,,
manly.nl,13,-5,635245,1.2139,0.8671,,
entree.nu,14,0,633261,5.9018,0.3026,,
idealista.com,15,-2,579213,8.7476,0.2917,,idealista
trustoo.nl,16,2,563068,1.452,0.7683,,
kamernet.nl,17,-2,551014,4.5521,0.4178,,
vrbo.com,18,1,455789,3.7121,0.5643,https://static.semrush.com/power-pages/media/favicons/vrbo-com-favicon-7947742b.png,VRBO
q-park.nl,19,1,414402,2.2601,0.6165,,
ikwilhuren.nu,20,1,374743,6.2177,0.3764,,
