id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
thuisbezorgd.nl,1,0,6926362,1.8687,0.6164,https://static.semrush.com/power-pages/media/favicons/thuisbezorgd-nl-favicon-035295b7.ico,Thuisbezorgd
takeaway.com,2,0,4365496,1.1125,0.9342,https://static.semrush.com/power-pages/media/favicons/takeaway-com-favicon-035295b7.ico,Takeaway.com
datumprikker.nl,3,0,3067028,2.0179,0.4918,,
newyorkpizza.nl,4,0,2247795,2.2213,0.651,,
dominos.nl,5,0,1859154,2.0672,0.479,,
ubereats.com,6,1,829500,2.1662,0.6341,,Uber Eats
formitable.com,7,-1,662986,2.8936,0.3115,,
mcdonalds.com,8,2,608340,2.4984,0.6131,https://static.semrush.com/power-pages/media/favicons/mcdonalds-com-favicon-56ed9994.jpg,McDonald's
sitedish.shop,9,-1,585290,1.8963,0.5381,,
foodticket.nl,10,-1,531966,1.3534,0.8035,,
thefork.nl,11,6,485906,1.4701,0.8237,,
resengo.com,12,-1,436161,1.8299,0.5321,,
kfc.nl,13,1,417897,1.5967,0.6205,,
eet.nu,14,-1,346732,1.1326,0.8949,,
welklidwoord.nl,15,1,304168,2.6403,0.7745,,
butlon.com,16,-4,276790,3.9074,0.5602,,
lacubanita.nl,17,1,223042,2.141,0.448,,
happycow.net,18,0,169694,1.1735,0.8951,,HappyCow
beren.nl,19,-4,158814,2.3007,0.6476,,
yourlittleblackbook.me,20,3,148195,1.6976,0.7294,,
