id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
office.com,1,2,7029179,1.7397,0.6217,https://static.semrush.com/power-pages/media/favicons/office-com-favicon-8f211ea6.ico,SmartSystem
openai.com,2,-1,6977844,1.828,0.6426,,
visma.com,3,-1,4773987,2.578,0.3502,,
imgur.com,4,4,3260090,2.1778,0.6336,https://static.semrush.com/power-pages/media/favicons/imgur-com-favicon-c0c62393.png,Imgur
paypal.com,5,4,2904557,3.4792,0.3093,https://static.semrush.com/power-pages/media/favicons/paypal-com-favicon-ed31bc43.png,PayPal
github.com,6,0,2814908,2.1963,0.6162,https://static.semrush.com/power-pages/media/favicons/github-com-favicon-346e0947.png,GitHub
visma.no,7,-2,2760641,1.8752,0.5229,,
messenger.com,8,-4,2536503,2.735,0.4882,https://static.semrush.com/power-pages/media/favicons/messenger-com-favicon-d2850d31.ico,Messenger
discord.com,9,-2,2140007,2.3331,0.6141,https://static.semrush.com/power-pages/media/favicons/discord-com-favicon-07dca80a.ico,Discord
workplace.com,10,4,1718907,2.1278,0.6302,,
signicat.com,11,7,1602891,1.4682,0.6853,,
voyado.com,12,3,1553093,1.2968,0.7567,,
stackoverflow.com,13,7,1298087,1.2268,0.8594,https://static.semrush.com/power-pages/media/favicons/stackoverflow-com-favicon-d2a17223.ico,Stack Overflow
wordpress.com,14,-1,1237008,1.9771,0.7666,https://static.semrush.com/power-pages/media/favicons/wordpress-com-favicon-f9797465.png,WordPress
discordapp.com,15,2,1161486,1.7614,0.7419,,
tripletex.no,16,-5,1128566,4.633,0.4846,,
canva.com,17,-1,1093532,3.0644,0.4202,,Canva
onelink.to,18,0,1080874,1.1385,0.8784,,
visma.net,19,7,1044328,2.059,0.5235,,
dropbox.com,20,4,1021086,1.8795,0.6453,https://static.semrush.com/power-pages/media/favicons/dropbox-com-favicon-5346f07d.png,Dropbox
