id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
bankid.no,1,0,35940770,3.5646,0.074,,
dnb.no,2,0,10433096,5.3696,0.3352,,
yahoo.com,3,0,6855402,2.2418,0.4997,,Yahoo
sparebank1.no,4,0,6528506,4.1843,0.2256,,
finansavisen.no,5,0,5628348,2.6808,0.4315,,
nordnet.no,6,0,4143308,1.9841,0.6131,,
adyen.com,7,0,3825103,1.2593,0.8233,https://static.semrush.com/power-pages/media/favicons/adyen-com-favicon-a500963f.png,Adyen
nets.eu,8,4,3071476,2.1139,0.3201,,
paypal.com,9,0,2904557,3.4792,0.3093,https://static.semrush.com/power-pages/media/favicons/paypal-com-favicon-ed31bc43.png,PayPal
coinmarketcap.com,10,8,2804333,1.9835,0.5501,https://static.semrush.com/power-pages/media/favicons/coinmarketcap-com-favicon-e687767a.png,CoinMarketCap
dn.no,11,-3,2692039,1.9564,0.6028,,
nordea.com,12,-2,2546391,2.9898,0.1879,,
klarna.com,13,-2,1996012,1.9935,0.4977,,
lanekassen.no,14,-1,1342739,2.9529,0.3357,,
nordea.no,15,-1,1307994,4.0016,0.3698,,
coindesk.com,16,0,1231557,1.1756,0.8686,,
storebrand.no,17,2,1122543,5.0338,0.2464,,
tradingview.com,18,0,1099873,1.48,0.7217,https://static.semrush.com/power-pages/media/favicons/tradingview-com-favicon-5ce990e1.png,TradingView
coinbase.com,19,3,1037117,2.0886,0.5391,,Coinbase
husbanken.no,20,3,904547,3.7719,0.285,,
