id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
norsk-tipping.no,1,0,7039184,1.5565,0.7186,,
gamdom.com,2,0,1856014,1.9527,0.6971,,
bet365.com,3,3,1164584,2.0474,0.534,,Bet365
coolbet.com,4,0,1062075,1.233,0.8426,,
stake.com,5,-2,367904,15.1349,0.3866,,
olbg.com,6,14,216840,1.2643,0.8289,,
nolimitcity.com,7,0,182217,1.6216,0.7234,,
eurojackpot.org,8,0,178651,1.6364,0.5455,,
betsson.com,9,-4,168809,1.3999,0.7779,,
gmx.net,10,0,100302,6.7196,0.1702,,GMX
themaltapokerfestival.com,11,0,88625,1.6,0.4,,
gmx.de,12,0,81205,1.0,1.0,,
comeon.com,13,-2,77156,6.6764,0.1318,,
thehendonmob.com,14,0,74788,5.2482,0.021,,
nordicbet.com,15,8,66591,1.4333,0.6754,,
svenskaspel.se,16,0,55356,2.5684,0.6318,,Svenska Spel
sharkscope.com,17,0,53175,1.0,1.0,,
videoslots.com,18,-11,47276,6.354,0.0944,,
oddalerts.com,19,0,47196,13.3333,0.0351,,
pokernews.com,20,0,37766,2.8872,0.0515,,
