id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
helsenorge.no,1,0,13935200,3.237,0.4216,,
forskning.no,2,1,1777951,1.5122,0.7784,,
vitusapotek.no,3,1,1587077,2.8584,0.5396,,
nhi.no,4,-2,1496265,1.1361,0.8838,,
healthline.com,5,2,1048920,1.3596,0.7691,,Healthline Media
webcruiter.no,6,2,1022438,2.1267,0.6073,,
nih.gov,7,-1,953326,1.4794,0.8283,https://static.semrush.com/power-pages/media/favicons/nih-gov-favicon-6c30e540.ico,National Institutes of Health
helsedirektoratet.no,8,2,753886,2.1066,0.613,,
oslo-universitetssykehus.no,9,10,714442,1.286,0.7734,,
nghs.com,10,0,691275,1.3846,0.6923,,
mykid.no,11,-6,577955,2.0465,0.5774,,
checkwareonline.com,12,18,509465,2.8427,0.2188,,
dagens.no,13,-4,504238,1.612,0.7239,,
legelisten.no,14,15,485722,2.1657,0.6665,,
nordreaasen.no,15,11,425400,2.2917,0.125,,
furstpasient.no,16,-5,416730,2.3522,0.353,,
helsenord.no,17,6,391625,2.7646,0.4084,,
tidsskriftet.no,18,-5,388699,1.1952,0.8494,,
medicalnewstoday.com,19,2,371036,1.404,0.611,https://static.semrush.com/power-pages/media/favicons/medicalnewstoday-com-favicon-28e75580.png,Medical News Today
babyverden.no,20,-6,353780,1.5723,0.9644,,
