id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
vegvesen.no,1,0,6880697,2.9766,0.503,,
biltema.no,2,0,5220715,3.7634,0.3881,,
auksjonen.no,3,4,3037864,1.6472,0.6849,,
autoplius.lt,4,0,2163298,12.9439,0.243,,
thansen.no,5,0,1399901,3.2144,0.4917,,
drm24.no,6,-3,1362819,2.3328,0.372,,
if.no,7,-1,1253416,2.0625,0.577,,
tesla.com,8,1,1194182,2.663,0.3361,,Tesla
blocket.se,9,20,878402,1.8102,0.7121,https://static.semrush.com/power-pages/media/favicons/blocket-se-favicon-03076b37.png,Blocket
naf.no,10,-2,795982,2.012,0.6726,,
eurodel.no,11,3,742742,2.8634,0.6287,,
formula.hu,12,0,665881,2.6341,0.2195,,
skruvat.no,13,0,649119,4.0986,0.394,,
motor.no,14,-4,635119,1.4413,0.7921,,
elbil24.no,15,-4,627805,1.1732,0.9092,,
elbil.no,16,0,575588,1.3294,0.7326,,
toyotaownersclub.com,17,0,388584,2.0035,0.3158,,
nio.com,18,0,356335,2.2591,0.6402,,
finndel.no,19,-1,332898,6.4608,0.4805,,
planetf1.com,20,0,322362,1.9347,0.6151,,Planet F1
