id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
indeed.com,1,0,14824535,3.1851,0.5275,https://static.semrush.com/power-pages/media/favicons/indeed-com-favicon-121a0618.ico,
jobstreet.com.ph,2,0,3712191,3.663,0.4583,,
16personalities.com,3,1,1901095,2.605,0.4546,,
workabroad.ph,4,-1,1860232,7.8033,0.2932,,
harver.com,5,4,706618,2.9993,0.5569,,
jobstreet.com,6,-1,645750,1.3693,0.7425,,
workable.com,7,0,621364,2.0894,0.6555,,
darwinbox.com,8,-2,580749,2.6574,0.1789,,
seek.com.au,9,2,567160,2.1128,0.6458,https://static.semrush.com/power-pages/media/favicons/www-seek-com-au-favicon-85cc3322.png,SEEK
poeajobs.ph,10,-2,486893,2.7679,0.3798,,
talent.com,11,1,410634,2.6474,0.5322,,
payrollpspi.net,12,13,375757,2.6258,0.3266,,
indeedassessments.com,13,8,364620,2.53,0.3963,,
ipams.com,14,5,344483,1.2276,0.7862,,
jobrapido.com,15,-1,307562,1.9574,0.4675,,
myhr.asia,16,2,282754,3.7769,0.1464,,
bamboohr.com,17,-4,276231,2.7136,0.5496,,
adp.com,18,-8,249304,2.895,0.3481,https://static.semrush.com/power-pages/media/favicons/adp-com-favicon-81349678.ico,ADP
kalibrr.com,19,-2,248342,2.1888,0.5428,,
testgorilla.com,20,7,223958,1.5393,0.7236,,
