id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
sciencedirect.com,1,0,4291942,1.56,0.7434,,ScienceDirect
mdpi.com,2,1,1283745,1.269,0.8353,,
typeset.io,3,1,1225919,2.1834,0.5775,,
wiley.com,4,1,898988,2.2774,0.7763,,John Wiley & Sons
doi.org,5,3,705697,1.7564,0.7203,,
uplb.edu.ph,6,-4,703960,2.8291,0.5187,,
elsevier.com,7,-1,501465,2.0682,0.7031,https://static.semrush.com/power-pages/media/favicons/elsevier-com-favicon-c0e62f50.png,Elsevier
ssrn.com,8,5,442673,1.6728,0.6549,,
semanticscholar.org,9,1,370903,1.6308,0.743,,
space.com,10,-1,321083,1.2546,0.8382,,
editage.com,11,5,285365,1.1561,0.8662,,
fao.org,12,2,233189,1.3179,0.8729,,
scirp.org,13,-1,196802,1.0867,0.9447,,
acm.org,14,4,180447,1.8031,0.6862,,
energy.gov,15,0,159352,2.1498,0.8149,,
phys.org,16,-1,118626,1.3627,0.8028,,
core.ac.uk,17,12,116150,3.1982,0.4346,,
repec.org,18,0,108948,1.3433,0.6944,,
rsc.org,19,6,103567,3.6695,0.4232,,
doaj.org,20,-1,103090,1.7381,0.426,,
