id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
openai.com,1,0,129393211,1.6561,0.6858,,
healthline.com,2,0,8300888,1.1636,0.8739,,Healthline Media
nih.gov,3,0,7888141,1.469,0.7531,https://static.semrush.com/power-pages/media/favicons/nih-gov-favicon-6c30e540.ico,National Institutes of Health
medicalnewstoday.com,4,0,3575372,1.1433,0.8811,https://static.semrush.com/power-pages/media/favicons/medicalnewstoday-com-favicon-28e75580.png,Medical News Today
clevelandclinic.org,5,2,3340311,1.2138,0.872,https://static.semrush.com/power-pages/media/favicons/clevelandclinic-org-favicon-91184c4d.png,Cleveland Clinic
calculator.net,6,2,3251531,2.7944,0.53,,
mayoclinic.org,7,-2,3016209,1.0968,0.9211,,Mayo Clinic
webmd.com,8,-2,2988996,1.1281,0.8994,,WebMD
verywellhealth.com,9,3,1327627,1.1347,0.8921,https://static.semrush.com/power-pages/media/favicons/www-verywellhealth-com-favicon-24415865.png,Verywell Health
unimeal.com,10,0,1310259,1.149,0.8802,,
cdc.gov,11,-1,1302737,1.4183,0.7998,https://static.semrush.com/power-pages/media/favicons/cdc-gov-favicon-8f23f529.ico,
harvard.edu,12,1,1162490,1.705,0.7235,https://static.semrush.com/power-pages/media/favicons/harvard-edu-favicon-8e03c54f.jpg,Harvard University
hellodoctor.com.ph,13,2,1141715,1.191,0.8622,,
www.nhs.uk,14,2,1099088,1.2631,0.8249,https://static.semrush.com/power-pages/media/favicons/www-nhs-uk-favicon-43924bfe.png,
mims.com,15,-6,1064881,1.506,0.7873,,MIMS
verywellmind.com,16,8,1060730,1.2176,0.8503,https://static.semrush.com/power-pages/media/favicons/www-verywellmind-com-favicon-517d3433.png,Verywell Mind
unilab.com.ph,17,-6,889684,1.6259,0.7385,,
omnicalculator.com,18,0,826242,1.2142,0.8355,,Omni Calculator
madmuscles.com,19,-5,685953,1.1351,0.9379,,
womenshealthmag.com,20,5,669742,1.088,0.9292,,Women's Health Magazine
