id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
min-saude.pt,1,0,2679429,4.2518,0.5271,,Centro Hospitalar São João
tuasaude.com,2,0,2243361,1.2567,0.83,https://static.semrush.com/power-pages/media/favicons/tuasaude-com-favicon-ba5118b9.ico,Tua Saúde
nih.gov,3,1,1127843,2.1443,0.6569,https://static.semrush.com/power-pages/media/favicons/nih-gov-favicon-6c30e540.ico,National Institutes of Health
cuf.pt,4,-1,1126333,1.3525,0.8399,,
msdmanuals.com,5,0,693649,1.4606,0.7065,https://static.semrush.com/power-pages/media/favicons/msdmanuals-com-favicon-8a33a4cf.ico,MSD manuals
healthline.com,6,2,634496,1.4996,0.7314,,Healthline Media
lusiadas.pt,7,0,526329,1.3489,0.8793,,
hospitaldaluz.pt,8,-2,505087,3.8384,0.4756,,
unilabs.pt,9,5,377239,2.2458,0.7713,,
saudebemestar.pt,10,7,344589,1.1223,0.8822,,
medicalnewstoday.com,11,16,334867,1.4058,0.7716,https://static.semrush.com/power-pages/media/favicons/medicalnewstoday-com-favicon-28e75580.png,Medical News Today
babycenter.com,12,16,318131,1.1713,0.8327,https://static.semrush.com/power-pages/media/favicons/www-babycenter-com-favicon-ec1d7388.png,BabyCenter
doctoralia.com.br,13,2,255856,1.5307,0.7282,https://static.semrush.com/power-pages/media/favicons/www-doctoralia-com-br-favicon-17285d0e.ico,Doctoralia
demaeparamae.pt,14,6,245791,1.6169,0.8658,,
webmd.com,15,3,242337,1.3618,0.7692,,WebMD
trofasaude.pt,16,-6,232803,2.1573,0.7719,,
uptodate.com,17,0,226683,1.8007,0.6103,https://static.semrush.com/power-pages/media/favicons/uptodate-com-favicon-151031dd.jpg,UpToDate
mdsaude.com,18,0,210843,1.2402,0.8176,,
doctolib.fr,19,0,196204,1.2581,0.9481,https://static.semrush.com/power-pages/media/favicons/doctolib-fr-favicon-31c15027.png,Doctolib France
dasa.com.br,20,0,182312,1.4747,0.536,,
