id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
thefork.pt,1,0,933976,1.5136,0.7094,,
glovoapp.com,2,1,383731,1.8044,0.6003,https://static.semrush.com/power-pages/media/favicons/glovoapp-com-favicon-89e06b3e.ico,Glovo
ubereats.com,3,2,298139,2.0319,0.6549,,Uber Eats
pizzahut.pt,4,3,228090,4.0987,0.4058,,
burgerking.pt,5,-1,178087,1.2006,0.9022,,
dominospizza.pt,6,4,165845,2.8992,0.3261,,
mcdonalds.pt,7,-5,151482,2.2943,0.5436,,
telepizza.pt,8,0,142672,3.2962,0.2303,,
kfc.pt,9,0,137237,1.5654,0.6053,,
takeaway.com,10,6,102267,1.0,1.0,https://static.semrush.com/power-pages/media/favicons/takeaway-com-favicon-035295b7.ico,Takeaway.com
camile.ie,11,12,76695,1.0,1.0,,
happycow.net,12,0,73415,1.2235,0.898,,HappyCow
theforkmanager.com,13,0,55980,1.0077,0.9923,,
fast-insight.com,14,-8,38118,1.6673,0.3333,,
mrpizza.pt,15,7,35121,1.2444,0.7874,,
ondevamosjantar.com,16,5,34308,1.2013,0.8069,,
mamashelter.com,17,0,33904,1.0383,0.9745,,
bkspain.es,18,0,32085,3.9478,0.1304,,
cardapio.menu,19,-8,26547,1.8925,0.6167,,
dominos.co.uk,20,0,25992,1.0493,0.9836,,Domino's Pizza UK
