id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
booking.com,1,0,5854380,3.4546,0.4921,https://static.semrush.com/power-pages/media/favicons/booking-com-favicon-faedfe66.ico,Booking.com
tripadvisor.pt,2,1,1850048,2.4951,0.6902,,Tripadvisor Portugal
ryanair.com,3,-1,1040713,3.6223,0.3858,,
flytap.com,4,1,988617,2.4437,0.4531,https://static.semrush.com/power-pages/media/favicons/flytap-com-favicon-c6c64412.ico,FlyTAP
skyscanner.pt,5,-1,981002,4.0995,0.2957,,
tabuademares.com,6,13,970995,1.2978,0.8783,,
flixbus.pt,7,5,702675,2.9101,0.4957,,
airbnb.pt,8,-1,698507,3.3767,0.4604,,
odisseias.com,9,-3,694161,5.9018,0.5579,,
easyjet.com,10,-1,664945,3.7224,0.3891,,
parquesdesintra.pt,11,6,655760,1.9778,0.3782,,
flightradar24.com,12,1,640618,2.1951,0.5415,,
edreams.pt,13,-5,630111,2.5279,0.4999,,
thetrainline.com,14,0,613981,1.9236,0.4944,,Trainline
rome2rio.com,15,8,548050,2.1358,0.3191,https://static.semrush.com/power-pages/media/favicons/www-rome2rio-com-favicon-159fe5dc.png,Rome2rio
sintracascaissesimbra.com,16,-6,495499,1.3971,0.7438,,
logitravel.pt,17,-6,477309,4.8773,0.3003,,
vortexmag.net,18,10,476144,1.0797,0.9255,,
momondo.pt,19,-4,436986,3.5521,0.1785,,
secretldn.com,20,0,435596,1.0038,0.9994,,
