id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
google.com,1,0,828184575,3.0843,0.4536,https://static.semrush.com/power-pages/media/favicons/google-com-favicon-f3418a44.ico,Google
youtube.com,2,0,494742360,5.6538,0.3703,https://static.semrush.com/power-pages/media/favicons/youtube-com-favicon-88b01f68.png,YouTube
faselhdtv.top,3,0,87921492,3.1065,0.4028,,
twitter.com,4,0,74217013,2.5144,0.7325,https://static.semrush.com/power-pages/media/favicons/twitter-com-favicon-8ea219d0.png,Twitter
facebook.com,5,0,64242893,2.002,0.6478,https://static.semrush.com/power-pages/media/favicons/facebook-com-favicon-d2850d31.ico,Facebook
tiktok.com,6,1,45246317,1.6347,0.7129,https://static.semrush.com/power-pages/media/favicons/tiktok-com-favicon-3776ce2f.png,TikTok
pornhub.com,7,-1,44125991,8.1729,0.2332,https://static.semrush.com/power-pages/media/favicons/pornhub-com-favicon-bf5b6c80.ico,Pornhub
instagram.com,8,1,43239075,1.7473,0.7465,https://static.semrush.com/power-pages/media/favicons/instagram-com-favicon-b407fa10.png,Instagram
x.com,9,-1,37345075,1.3085,0.8116,,
manga-like.net,10,0,36620895,7.2135,0.2904,,
manga-lek.net,11,3,35953464,7.127,0.2649,,
teamxnovel.com,12,0,34621661,5.4332,0.3659,,
topcinema.top,13,-2,32168029,3.315,0.4296,,
azoramoon.com,14,2,31888931,4.9637,0.3565,,
goldragon.me,15,-2,31627737,4.8666,0.4264,,
wikipedia.org,16,1,31344853,2.0333,0.602,https://static.semrush.com/power-pages/media/favicons/wikipedia-org-favicon-904ce6bd.ico,Wikipedia
whatsapp.com,17,3,29089856,1.4488,0.7631,,WhatsApp
gmanga.org,18,-3,26468424,5.9275,0.4029,,
3ck.link,19,-1,23695339,3.483,0.3082,,
amazon.sa,20,1,21841254,5.8141,0.4869,,
